row_label_raw,row_label_full,col_0,"Ngàn VNDNhà cửa,vật kiến trúc","numeric__Ngàn VNDNhà cửa,vật kiến trúc"
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,47.003.809,47003809.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,16.452.906,16452906.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,63.456.715,63456715.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(12.707.546),-12707546.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(1.946.301),-1946301.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(14.653.847),-14653847.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,34.296.263,34296263.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,48.802.868,48802868.0
Trong đó:Thế chấp để đảm bảo các khoản vay của Công ty (TM số 20),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo các khoản vay của Công ty (TM số 20),Trong đó:Thế chấp để đảm bảo các khoản vay của Công ty (TM số 20),32.404.806,32404806.0
