row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,2.787.028,2.459.198,2787028.0,2459198.0
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,380.007,378.597,380007.0,378597.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,51.996,283.805,51996.0,283805.0
,,,3.219.031,3.121.600,3219031.0,3121600.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên,Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,36.936.797,33.190.924,36936797.0,33190924.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,20.695.239,20.871.366,20695239.0,20871366.0
Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,4.155.832,4.768.692,4155832.0,4768692.0
Hoàn nhập dự phòng,Chi phí quản lý doanh nghiệp > Hoàn nhập dự phòng,Hoàn nhập dự phòng,(51.893.236),(401.977),-51893236.0,-401977.0
Hoàn nhập chi phí hoạt động,Chi phí quản lý doanh nghiệp > Hoàn nhập chi phí hoạt động,Hoàn nhập chi phí hoạt động,-,(10.723.635),,-10723635.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,6.910.650,8.186.762,6910650.0,8186762.0
,,,16.805.282,55.892.132,16805282.0,55892132.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,20.024.313,59.013.732,20024313.0,59013732.0
