row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND > Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND > Số đầu năm
Tiền mặt,Tiền mặt,Tiền mặt,514.414,601.565,514414.0,601565.0
Tiền gửi ngân hàng,Tiền gửi ngân hàng,Tiền gửi ngân hàng,645.507.110,3.562.984,645507110.0,3562984.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,646.021.524,4.164.549,646021524.0,4164549.0
