row_label_raw,row_label_full,col_0,Năm nay,Ngăn VNDNăm trước,numeric__Năm nay,numeric__Ngăn VNDNăm trước
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,-,37.670,,37670.0
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(4.750.093),(2.405.169),-4750093.0,-2405169.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(4.750.093),(2.367.499),-4750093.0,-2367499.0
