row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Các quỹ khác (i) Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Các quỹ khác (i) Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,33.774.351,271.779,2.682.996,6.108.157,121,14.420.026,57.257.430,33774351.0,271779.0,2682996.0,6108157.0,121.0,14420026.0,57257430.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,15.521.754,15.521.754,,,,,,15521754.0,15521754.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,776.087,1.552.175,-,(2.328.262),-,,,776087.0,1552175.0,,-2328262.0,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))",-,-,-,-,-,(150.000),(150.000),,,,,,-150000.0,-150000.0
Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),5.066.153,-,-,-,-,(5.066.153),-,5066153.0,,,,,-5066153.0,
Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),-,-,-,-,-,(3.377.435),(3.377.435),,,,,,-3377435.0,-3377435.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,38.840.504,271.779,3.459.083,7.660.332,121,19.019.930,69.251.749,38840504.0,271779.0,3459083.0,7660332.0,121.0,19019930.0,69251749.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,16.085.199,16.085.199,,,,,,16085199.0,16085199.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,1.608.520,1.608.520,-,(3.217.040),-,,,1608520.0,1608520.0,,-3217040.0,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))",-,-,-,-,-,(400.000),(400.000),,,,,,-400000.0,-400000.0
Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),5.826.075,-,-,-,-,(5.826.075),-,5826075.0,,,,,-5826075.0,
Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),-,-,-,-,-,(3.884.051),(3.884.051),,,,,,-3884051.0,-3884051.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,44.666.579,271.779,5.067.603,9.268.852,121,21.777.963,81.052.897,44666579.0,271779.0,5067603.0,9268852.0,121.0,21777963.0,81052897.0
