row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,TSCĐ hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__TSCĐ hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,2.628.117,2.707.002,582.382,179.139,6.096.640,2628117.0,2707002.0,582382.0,179139.0,6096640.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,3.723,87.224,100.765,7.079,198.791,3723.0,87224.0,100765.0,7079.0,198791.0
Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 13.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 13.1(ii)),Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 13.1(ii)),296.532,-,1.355,-,297.887,296532.0,,1355.0,,297887.0
Chuyển từ tài sản gán nợ,Nguyên giá > Chuyển từ tài sản gán nợ,Chuyển từ tài sản gán nợ,3.222,-,-,-,3.222,3222.0,,,,3222.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(38.332),(53.089),(43.296),(3.368),(138.085),-38332.0,-53089.0,-43296.0,-3368.0,-138085.0
Phân loại lại (Thuyết minh 12.2),Nguyên giá > Phân loại lại (Thuyết minh 12.2),Phân loại lại (Thuyết minh 12.2),(126.577),-,-,-,(126.577),-126577.0,,,,-126577.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.766.685,2.741.137,641.206,182.850,6.331.878,2766685.0,2741137.0,641206.0,182850.0,6331878.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,728.825,1.656.230,312.292,147.788,2.845.135,728825.0,1656230.0,312292.0,147788.0,2845135.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,58.317,316.591,50.993,9.325,435.226,58317.0,316591.0,50993.0,9325.0,435226.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,(11.198),(53.034),(42.978),(3.368),(110.578),-11198.0,-53034.0,-42978.0,-3368.0,-110578.0
Tại ngày 31 tháng 12 năm 2024,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,775.944,1.919.787,320.307,153.745,3.169.783,775944.0,1919787.0,320307.0,153745.0,3169783.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,1.899.292,1.050.772,270.090,31.351,3.251.505,1899292.0,1050772.0,270090.0,31351.0,3251505.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,1.990.741,821.350,320.899,29.105,3.162.095,1990741.0,821350.0,320899.0,29105.0,3162095.0
