row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2024,31.12.2023,31122024.0,31122023.0
,,,Triệu VND,Triệu VND,,
Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,,
Tiền gửi tại Ngân hàng Nhà nước,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,25.219.461,18.504.709,25219461.0,18504709.0
Tiền gửi và cho vay các TCTD khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,108.053.288,111.225.983,108053288.0,111225983.0
Chứng khoán kinh doanh - chứng khoán nợ,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Chứng khoán kinh doanh - chứng khoán nợ,Chứng khoán kinh doanh - chứng khoán nợ,841.743,5.879.766,841743.0,5879766.0
Các công cu tài chính phải sinh,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Các công cu tài chính phải sinh,Các công cu tài chính phải sinh,55.992,-,55992.0,
Cho vay khách hàng,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Cho vay khách hàng,Cho vay khách hàng,569.734.624,481.276.138,569734624.0,481276138.0
"Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:",,
- Chứng khoán nợ - đầu tư sẵn sàng để bán,"Chứng khoán đầu tư, trong đó: > - Chứng khoán nợ - đầu tư sẵn sàng để bán",- Chứng khoán nợ - đầu tư sẵn sàng để bán,108.905.816,44.891.107,108905816.0,44891107.0
- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,"Chứng khoán đầu tư, trong đó: > - Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn",- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,12.171.766,28.559.579,12171766.0,28559579.0
Các tài sản tài chính khác,"Chứng khoán đầu tư, trong đó: > Các tài sản tài chính khác",Các tài sản tài chính khác,6.931.761,7.312.608,6931761.0,7312608.0
,,,831.914.451,697.649.890,831914451.0,697649890.0
Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,,
Các cam kết ngoại bảng,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng: > Các cam kết ngoại bảng,Các cam kết ngoại bảng,30.284.395,22.164.732,30284395.0,22164732.0
