row_label_raw,row_label_full,col_0,31.12.2024Triệu VND,31.12.2023Triệu VND,numeric__31.12.2024Triệu VND,numeric__31.12.2023Triệu VND
Tiền gửi tai công ty con,Tiền gửi tai công ty con,Tiền gửi tai công ty con,45.000,-,45000.0,
Cho vay công ty con,Cho vay công ty con,Cho vay công ty con,1.065.853,824.400,1065853.0,824400.0
Cho vay các bên liên quan khác (i),Cho vay các bên liên quan khác (i),Cho vay các bên liên quan khác (i),364.134,279.642,364134.0,279642.0
Tiền gửi của các công ty con,Tiền gửi của các công ty con,Tiền gửi của các công ty con,2.131.412,1.163.955,2131412.0,1163955.0
Tiền gửi của các bên liên quan khác (i),Tiền gửi của các bên liên quan khác (i),Tiền gửi của các bên liên quan khác (i),781.589,725.417,781589.0,725417.0
Lãi dự thu từ tiền gửi tai công ty con,Lãi dự thu từ tiền gửi tai công ty con,Lãi dự thu từ tiền gửi tai công ty con,90,-,90.0,
Lãi dự thu từ các khoản cho vay công ty con,Lãi dự thu từ các khoản cho vay công ty con,Lãi dự thu từ các khoản cho vay công ty con,4.575,4.678,4575.0,4678.0
Lãi dự thu từ các khoản cho vay các bên liên quan khác (i),Lãi dự thu từ các khoản cho vay các bên liên quan khác (i),Lãi dự thu từ các khoản cho vay các bên liên quan khác (i),2.776,1.395,2776.0,1395.0
Lãi dự chi cho tiền gửi của các công ty con,Lãi dự chi cho tiền gửi của các công ty con,Lãi dự chi cho tiền gửi của các công ty con,7.913,8.433,7913.0,8433.0
Lãi dự chi cho tiền gửi của các bên liên quan khác (i),Lãi dự chi cho tiền gửi của các bên liên quan khác (i),Lãi dự chi cho tiền gửi của các bên liên quan khác (i),8 464,15.283,,15283.0
Phải thu công ty con,Phải thu công ty con,Phải thu công ty con,146.000,146.000,146000.0,146000.0
Lợi nhuận được chia phải thu từ công ty con,Lợi nhuận được chia phải thu từ công ty con,Lợi nhuận được chia phải thu từ công ty con,2.717,612,2717.0,612.0
