row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2024 Triệu VND,Tại ngày > 31.12.2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2024 Triệu VND,numeric__Tại ngày > 31.12.2023 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,5.696.444,6.909.295,,4.0,5696444.0,6909295.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,25.219.461,18.504.709,,5.0,25219461.0,18504709.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tin dụng khác,6,108.003.288,111.175.983,,6.0,108003288.0,111175983.0
1,A > 1,1,Tiền gửi tại các tổ chức tin dụng khác,,106.836.456,110.121.654,,,106836456.0,110121654.0
2,A > 2,2,Cho vay các tổ chức tin dụng khác,,1.216.832,1.104.329,,,1216832.0,1104329.0
3,A > 3,3,Dự phòng rủi ro,6.3,(50.000),(50.000),,63.0,-50000.0,-50000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,841.743,5.879.766,,7.0,841743.0,5879766.0
1,A > 1,1,Chứng khoán kinh doanh,7.1,841.743,5.879.766,,71.0,841743.0,5879766.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,55.992,-,,8.0,55992.0,
VI,A > VI,VI,Cho vay khách hàng,9,563.147.530,476.062.518,,9.0,563147530.0,476062518.0
1,A > 1,1,Cho vay khách hàng,,569.734.624,481.276.138,,,569734624.0,481276138.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9.7,(6.587.094),(5.213.620),,97.0,-6587094.0,-5213620.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,121.090.243,73.463.347,,10.0,121090243.0,73463347.0
1,A > 1,1,Chứng khoán đầu tư sẵn sáng để bán,,108.918.477,44.903.768,,,108918477.0,44903768.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,12.171.766,28.559.579,,,12171766.0,28559579.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,7.578.535,4.583.105,,11.0,7578535.0,4583105.0
1,A > 1,1,Đầu tư vào công ty con,11.2,7.505.000,4.505.000,,112.0,7505000.0,4505000.0
4,A > 4,4,Đầu tư dài hạn khác,11.3,241.467,241.467,,113.0,241467.0,241467.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,11.4,(167.932),(163.362),,114.0,-167932.0,-163362.0
X,A > X,X,Tài sản cố định,12,5.326.341,4.680.080,,12.0,5326341.0,4680080.0
1,A > 1,1,Tài sản cố định hữu hình,12.1,3.162.095,3.251.505,,121.0,3162095.0,3251505.0
a,A > a,a,Nguyên giả tài sản cố định,,6.331.878,6.096.640,,,6331878.0,6096640.0
b,A > b,b,Hao món tài sản cố định,,(3.169.783),(2.845.135),,,-3169783.0,-2845135.0
3,A > 3,3,Tài sản cố định vô hình,12.2,2.164.246,1.428.575,,122.0,2164246.0,1428575.0
a,A > a,a,Nguyên giả tài sản cố định,,2.870.302,2.035.730,,,2870302.0,2035730.0
b,A > b,b,Hao món tài sản cố định,,(706.056),(607.155),,,-706056.0,-607155.0
XII,A > XII,XII,Tài sản Có khác,13,9.471.828,10.456.118,,13.0,9471828.0,10456118.0
1,A > 1,1,Các khoản phải thu,13.1,3.547.914,5.387.459,,131.0,3547914.0,5387459.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,4.783.969,4.203.937,,,4783969.0,4203937.0
3,A > 3,3,Tài sản thuê thu nhập doanh nghiệp hoãn lại,13.2,17.190,33.535,,132.0,17190.0,33535.0
4,A > 4,4,Tái sản Có khác,13.3,1.295.406,1.003.880,,133.0,1295406.0,1003880.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,13.4,(172.651),(172.693),,134.0,-172651.0,-172693.0
,,,TỔNG TÀI SẢN,,846.431.405,711.714.921,,,846431405.0,711714921.0
