row_label_raw,row_label_full,col_0,31.12.2024Triệu VND,31.12.2023Triệu VND,numeric__31.12.2024Triệu VND,numeric__31.12.2023Triệu VND
"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng",,
Bắt động sản,"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Bắt động sản",Bắt động sản,1.050.007.290,867.009.958,1050007290.0,867009958.0
Hàng tồn kho,"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Hàng tồn kho",Hàng tồn kho,785.201,572.679,785201.0,572679.0
"Máy móc, thiết bị","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Máy móc, thiết bị","Máy móc, thiết bị",4.006.319,3.984.708,4006319.0,3984708.0
Giấy tờ có giá,"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Giấy tờ có giá",Giấy tờ có giá,179.447.364,48.265.817,179447364.0,48265817.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- GTCG do doanh nghiệp phát hành,Trong đó: > - GTCG do doanh nghiệp phát hành,- GTCG do doanh nghiệp phát hành,179.447.364,48.265.817,179447364.0,48265817.0
Tài sản khác,Trong đó: > Tài sản khác,Tài sản khác,35.516.569,22.235.715,35516569.0,22235715.0
,,,1.269.762.743,942.068.877,1269762743.0,942068877.0
"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác",,
Tiền gửi của các TCTD khác,"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác > Tiền gửi của các TCTD khác",Tiền gửi của các TCTD khác,58.054.300,51.589.470,58054300.0,51589470.0
Bắt động sản,"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác > Bắt động sản",Bắt động sản,836.222,840.698,836222.0,840698.0
Giấy tờ có giá,"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác > Giấy tờ có giá",Giấy tờ có giá,100.000,250.000,100000.0,250000.0
Tài sản khác,"Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác > Tài sản khác",Tài sản khác,1.255.203,997.436,1255203.0,997436.0
,,,60.245.725,53.677.604,60245725.0,53677604.0
"Tổng tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu","Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu của các tổ chức tin dụng khác > Tổng tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu","Tổng tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu",1.330.008.468,995.746.481,1330008468.0,995746481.0
