row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,Trên3 tháng,Dếnt3 tháng,Dếnt1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên5 năm,Tổng cộng,,,,,,,,
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,5.696.444,-,-,-,-,5.696.444,,,5696444.0,,,,,5696444.0
Tiền gửi tại Ngân hàng Nhà nước,Tải sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,25.219.461,-,-,-,-,25.219.461,,,25219461.0,,,,,25219461.0
Tiền gửi và cho vay các TCTD khác (i),Tải sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,-,90.697.435,16.290.000,84.227,684.626,297.000,108.053.288,,,90697435.0,16290000.0,84227.0,684626.0,297000.0,108053288.0
Chứng khoán kinh doanh (i),Tải sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,841.743,-,-,-,-,841.743,,,841743.0,,,,,841743.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,55.992,-,-,-,-,55.992,,,55992.0,,,,,55992.0
Cho vay khách hàng (i),Tải sản > Cho vay khách hàng (i),Cho vay khách hàng (i),7.487.932,3.795.221,33.781.367,108.991.620,238.692.197,21.764.398,155.221.889,569.734.624,7487932.0,3795221.0,33781367.0,108991620.0,238692197.0,21764398.0,155221889.0,569734624.0
Chứng khoán đầu tư (i),Tải sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,1.162.675,7.086.628,47.850.598,32.272.830,32.717.512,121.090.243,,,1162675.0,7086628.0,47850598.0,32272830.0,32717512.0,121090243.0
"Gộp vốn, đầu tư dài hạn (i)","Tải sản > Gộp vốn, đầu tư dài hạn (i)","Gộp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,7.746.467,7.746.467,,,,,,,7746467.0,7746467.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,-,-,-,-,-,5.326.341,5.326.341,,,,,,,5326341.0,5326341.0
Tải sản Có khác (i),Tải sản > Tải sản Có khác (i),Tải sản Có khác (i),175.724,91,9.468.664,-,-,-,-,9.644.479,175724.0,91.0,9468664.0,,,,,9644479.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,7.663.656,3.795.312,166.923.781,132.368.248,286.627.022,54.721.854,201.309.209,853.409.082,7663656.0,3795312.0,166923781.0,132368248.0,286627022.0,54721854.0,201309209.0,853409082.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,7.954.853,-,-,-,-,7.954.853,,,7954853.0,,,,,7954853.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,80.716.304,14.077.690,198.756,462,-,94.993.212,,,80716304.0,14077690.0,198756.0,462.0,,94993212.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,279.554.867,117.331.537,137.543.298,4.710.045,-,539.139.747,,,279554867.0,117331537.0,137543298.0,4710045.0,,539139747.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu núi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu núi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu núi ro",-,-,-,1.927,7.323,15.278,3.480,28.008,,,,1927.0,7323.0,15278.0,3480.0,28008.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,1.999.951,71.949.736,27.668.769,29.699,101.648.155,,,,1999951.0,71949736.0,27668769.0,29699.0,101648155.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,21.614.533,-,-,-,-,21.614.533,,,21614533.0,,,,,21614533.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,389.840.557,133.411.105,209.699.113,32.394.554,33.179,765.378.508,,,389840557.0,133411105.0,209699113.0,32394554.0,33179.0,765378508.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,7.663.656,3.795.312,(222.916.776),(1.042.857),76.927.909,22.327.300,201.276.030,88.030.574,7663656.0,3795312.0,-222916776.0,-1042857.0,76927909.0,22327300.0,201276030.0,88030574.0
