row_label_raw,row_label_full,col_0,31.12.2024Triệu VND,31.12.2023Triệu VND,numeric__31.12.2024Triệu VND,numeric__31.12.2023Triệu VND
Thương mại,Thương mại,Thương mại,99.711.820,85.083.564,99711820.0,85083564.0
Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,35.754.650,27.901.464,35754650.0,27901464.0
Xây dựng,Xây dựng,Xây dựng,20.225.083,18.024.588,20225083.0,18024588.0
Dịch vụ cá nhân và công đồng,Dịch vụ cá nhân và công đồng,Dịch vụ cá nhân và công đồng,19.418.129,13.855.783,19418129.0,13855783.0
"Tư vấn, kinh doanh bất động sản","Tư vấn, kinh doanh bất động sản","Tư vấn, kinh doanh bất động sản",7.486.783,5.730.095,7486783.0,5730095.0
"Kho bãi, giao thông vận tải và thông tin liên lạc","Kho bãi, giao thông vận tải và thông tin liên lạc","Kho bãi, giao thông vận tải và thông tin liên lạc",4.371.526,3.773.489,4371526.0,3773489.0
Nhà hàng và khách sạn,Nhà hàng và khách sạn,Nhà hàng và khách sạn,1.789.802,1.676.652,1789802.0,1676652.0
"Nông, lâm nghiệp","Nông, lâm nghiệp","Nông, lâm nghiệp",1.823.430,1.402.589,1823430.0,1402589.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,695.852,677.254,695852.0,677254.0
Dịch vụ tài chính,Dịch vụ tài chính,Dịch vụ tài chính,8.599.396,1.811.477,8599396.0,1811477.0
"Hoạt động khoa học, công nghệ","Hoạt động khoa học, công nghệ","Hoạt động khoa học, công nghệ",1.288.661,757.684,1288661.0,757684.0
Y tế và cứu trợ xã hội,Y tế và cứu trợ xã hội,Y tế và cứu trợ xã hội,805.989,682.863,805989.0,682863.0
Các ngành nghề khác,Các ngành nghề khác,Các ngành nghề khác,367.763.503,319.898.636,367763503.0,319898636.0
,,,569.734.624,481.276.138,569734624.0,481276138.0
