row_label_raw,row_label_full,col_0,Bằng đồng Việt NamTriệu VND,Bằng ngoại tệTriệu VND,Tổng cộngTriệu VND,numeric__Bằng đồng Việt NamTriệu VND,numeric__Bằng ngoại tệTriệu VND,numeric__Tổng cộngTriệu VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,54.784,-,54.784,54784.0,,54784.0
Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,91.869.316,103.954.872,195.824.188,91869316.0,103954872.0,195824188.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,-,1.999.681,1.999.681,,1999681.0,1999681.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,2.750,1.516.583,1.519.333,2750.0,1516583.0,1519333.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,3.643.580,172.328,3.815.908,3643580.0,172328.0,3815908.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,2.714.267,153.095,2.867.362,2714267.0,153095.0,2867362.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,895.491,-,895.491,895491.0,,895491.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,7.514.536,237.559,7.752.095,7514536.0,237559.0,7752095.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,19.466.418,8.882.991,28.349.409,19466418.0,8882991.0,28349409.0
,,,126.161.142,116.917.109,243.078.251,126161142.0,116917109.0,243078251.0
