row_label_raw,row_label_full,col_0,USD,Vàng,EUR,JPY,AUD,CAD,Khác,Tổng cộng,numeric__USD,numeric__Vàng,numeric__EUR,numeric__JPY,numeric__AUD,numeric__CAD,numeric__Khác,numeric__Tổng cộng
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",966.769,266.634,3.330,1.722,18.059,16.383,2.427,1.275.324,966769.0,266634.0,3330.0,1722.0,18059.0,16383.0,2427.0,1275324.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,9.203.634,-,-,-,-,-,-,9.203.634,9203634.0,,,,,,,9203634.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),32.526.270,-,211.224,5.701.721,55.929,40.469,88.845,38.624.458,32526270.0,,211224.0,5701721.0,55929.0,40469.0,88845.0,38624458.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),10.730.314,3.056,-,-,-,-,-,10.733.370,10730314.0,3056.0,,,,,,10733370.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),1.554.514,4.424,9.539,42.804,-,-,6,1.611.287,1554514.0,4424.0,9539.0,42804.0,,,6.0,1611287.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,54.981.501,274.114,224.093,5.746.247,73.988,56.852,91.278,61.448.073,54981501.0,274114.0,224093.0,5746247.0,73988.0,56852.0,91278.0,61448073.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,4.203.543,-,9.520,42.710,-,-,-,4.255.773,4203543.0,,9520.0,42710.0,,,,4255773.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,11.443.270,-,180.007,674.390,59.219,24.215,40.261,12.421.362,11443270.0,,180007.0,674390.0,59219.0,24215.0,40261.0,12421362.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,42.130.028,-,5.360,4.805.912,-,18.329,24.578,46.984.207,42130028.0,,5360.0,4805912.0,,18329.0,24578.0,46984207.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,14.680,-,-,-,14.680,,,,14680.0,,,,14680.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,481.310,-,19.077,3.003,11.490,6.310,9.925,531.115,481310.0,,19077.0,3003.0,11490.0,6310.0,9925.0,531115.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,58.258.151,-,213.964,5.540.695,70.709,48.854,74.764,64.207.137,58258151.0,,213964.0,5540695.0,70709.0,48854.0,74764.0,64207137.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(3.276.650),274.114,10.129,205.552,3.279,7.998,16.514,(2.759.064),-3276650.0,274114.0,10129.0,205552.0,3279.0,7998.0,16514.0,-2759064.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,800.271,-,8.845,(17.039),6.615,-,23.888,822.580,800271.0,,8845.0,-17039.0,6615.0,,23888.0,822580.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(2.476.379),274.114,18.974,188.513,9.894,7.998,40.402,(1.936.484),-2476379.0,274114.0,18974.0,188513.0,9894.0,7998.0,40402.0,-1936484.0
