row_label_raw,row_label_full,col_0,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"1. Tiền mặt,vàng bạc, đá quỳ","Tài sản > 1. Tiền mặt,vàng bạc, đá quỳ","1. Tiền mặt,vàng bạc, đá quỳ",684.521,555.727,4.456.196,-,5.696.444,684521.0,555727.0,4456196.0,,5696444.0
2. Tài sản cố định,Tài sản > 2. Tài sản cố định,2. Tài sản cố định,97.374,145.996,5.082.971,-,5.326.341,97374.0,145996.0,5082971.0,,5326341.0
3. Tài sản khác,Tài sản > 3. Tài sản khác,3. Tài sản khác,116.845.348,82.855.519,786.829.771,(151.122.018),835.408.620,116845348.0,82855519.0,786829771.0,-151122018.0,835408620.0
,,,117.627.243,83.557.242,796.368.938,(151.122.018),846.431.405,117627243.0,83557242.0,796368938.0,-151122018.0,846431405.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
1. Nợ phải trả kháchhàng bên ngoài,Nợ phải trả > 1. Nợ phải trả kháchhàng bên ngoài,1. Nợ phải trả kháchhàng bên ngoài,97.604.781,37.296.688,620.674.736,-,755.576.205,97604781.0,37296688.0,620674736.0,,755576205.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,17.145.191,44.896.248,90.319.616,(151.122.018),1.239.037,17145191.0,44896248.0,90319616.0,-151122018.0,1239037.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,8.985,8.875,8.545.406,-,8.563.266,8985.0,8875.0,8545406.0,,8563266.0
,,,114.758.957,82.201.811,719.539.758,(151.122.018),765.378.508,114758957.0,82201811.0,719539758.0,-151122018.0,765378508.0
