row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2024Triệu VND,Năm 2023Triệu VND,numeric__Thuyết minh,numeric__Năm 2024Triệu VND,numeric__Năm 2023Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Thu nhập lãi và các khoản thu nhập tương tự nhân được,49.108.489,51.620.959,,49108489.0,51620959.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Chi phí lãi và các chi phí tương tự đã trả,(23.366.957),(25.142.880),,-23366957.0,-25142880.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Thu nhập từ hoạt động dịch vụ nhận được,2.410.176,2.120.506,,2410176.0,2120506.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoai tệ, vàng bạc, chứng khoán)",1.608.404,3.772.240,,1608404.0,3772240.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Chi phí khác,(74.034),(73.263),,-74034.0,-73263.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,"Tiền thu các khoản nợ đã được xử lý xóa, bù đáp bằng nguồn rủi ro",732.524,872.746,,732524.0,872746.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,Tiền chi trả cho nhân viên và hoạt động quản lý,(10.366.159),(10.251.221),,-10366159.0,-10251221.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(3.941.421),(3.930.009),,-3941421.0,-3930009.0
LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,16.111.022,18.989.078,,16111022.0,18989078.0,
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,(Tăng)/giảm các khoản tiền gửi và cho vay các tổ chức tin dụng khác,(112.503),3.323.622,,-112503.0,3323622.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,(41.824.763),(2.928.370),,-41824763.0,-2928370.0
11,Những thay đổi về tài sản hoạt động > 11,11,(Tăng)/giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,(55.992),100.072,,-55992.0,100072.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,(88.458.485),(71.122.820),,-88458485.0,-71122820.0
13,Những thay đổi về tài sản hoạt động > 13,13,"Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đáp tổn thất các khoản",(224.804),(1.280.830),,-224804.0,-1280830.0
14,Những thay đổi về tài sản hoạt động > 14,14,Giảm khác về tài sản hoạt động,1.110.439,7.061,,1110439.0,7061.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng/(giảm) các khoản nợ Chính phủ và Ngân hàng Nhà nước,7.954.765,(505.788),,7954765.0,-505788.0
16,Những thay đổi về công nợ hoạt động > 16,16,Tăng các khoản tiền gửi và vay các tổ chức tin dụng khác,10.677.482,16.996.899,,10677482.0,16996899.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,55.490.494,67.895.066,,55490494.0,67895066.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,49.233.145,8.099.170,,49233145.0,8099170.0
19,Những thay đổi về công nợ hoạt động > 19,19,"Giảm vốn tài trợ, ủy thác đầu tư, cho vay mà tổ chức tin dụng chịu rủi ro",(13.526),(18.654),,-13526.0,-18654.0
20,Những thay đổi về công nợ hoạt động > 20,20,(Giảm)/tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(117.126),117.126,,-117126.0,117126.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng/(giảm) khác về công nợ hoạt động,825.822,(1.836.978),,825822.0,-1836978.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ của tổ chức tin dụng,(1.249),(1.500),,-1249.0,-1500.0
L'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,Những thay đổi về công nợ hoạt động > L'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,L'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,10.594.721,37.833.154,,10594721.0,37833154.0,
