row_label_raw,row_label_full,col_0,col_1,Tài ngày > Thuyết minh,Tài ngày > 31.12.2024Triệu VND,Tài ngày > 31.12.2023Triệu VND,numeric__col_1,numeric__Tài ngày > Thuyết minh,numeric__Tài ngày > 31.12.2024Triệu VND,numeric__Tài ngày > 31.12.2023Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,14,7.954.853,88,,14.0,7954853.0,88.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước",,7.954.853,88,,,7954853.0,88.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,94.993.212,84.315.730,,15.0,94993212.0,84315730.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,91.621.806,80.745.540,,,91621806.0,80745540.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.371.406,3.570.190,,,3371406.0,3570190.0
III,B > III,III,Tiền gửi của khách hàng,16,539.139.747,483.649.253,,16.0,539139747.0,483649253.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,-,117.126,,8.0,,117126.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,28.008,41.534,,17.0,28008.0,41534.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,101.648.155,52.392.403,,18.0,101648155.0,52392403.0
VII,B > VII,VII,Các khoản nợ khác,,21.614.533,21.947.038,,,21614533.0,21947038.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,7.023.331,7.666.244,,,7023331.0,7666244.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,14.591.202,14.280.794,,19.0,14591202.0,14280794.0
,,,TỔNG NỘ PHẢI TRẢ,,765.378.508,642.463.172,,,765378508.0,642463172.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,20,81.052.897,69.251.749,,20.0,81052897.0,69251749.0
1,B > 1,1,Vốn của tổ chức tín dụng,,44.938.358,39.112.283,,,44938358.0,39112283.0
a,B > a,a,Vốn điều lệ,,44.666.579,38.840.504,,,44666579.0,38840504.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,14.336.576,11.119.536,,,14336576.0,11119536.0
5,B > 5,5,Lợi nhuận chưa phân phối,,21.777.963,19.019.930,,,21777963.0,19019930.0
a,B > a,a,Lợi nhuận năm nay,,12.868.159,13.193.492,,,12868159.0,13193492.0
b,B > b,b,Lợi nhuận lũy kế đến cuối năm trước,,8.909.804,5.826.438,,,8909804.0,5826438.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,81.052.897,69.251.749,,,81052897.0,69251749.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,846.431.405,711.714.921,,,846431405.0,711714921.0
