row_label_raw,row_label_full,Lợi nhuận trước thuế TNDNCác khoản mục điều chỉnh:,Năm 2024Triệu VND > 20.118.964,Năm 2023Triệu VND > 19.434.103,numeric__Năm 2024Triệu VND > 20.118.964,numeric__Năm 2023Triệu VND > 19.434.103
"Trừ (-) Thu nhập được miễn thuế TNDN;- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN;- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN;- Thu nhập từ góp vốn, mua cổ phần",14.492,63.720,14492.0,63720.0
"Trừ (-) Thu nhập được miễn thuế TNDN;- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN;- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN;- Thu nhập từ góp vốn, mua cổ phần",14.492,63.720,14492.0,63720.0
Cộng (+) Chi phí không được khấu trừ khi xác định thu nhập chịu thuế,Cộng (+) Chi phí không được khấu trừ khi xác định thu nhập chịu thuế,Cộng (+) Chi phí không được khấu trừ khi xác định thu nhập chịu thuế,13.516,157.018,13516.0,157018.0
Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,(190.566),(152.156),-190566.0,-152156.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,19.927.422,19.375.245,19927422.0,19375245.0
Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,3.985.484,3.875.049,3985484.0,3875049.0
Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,31.936,6.869,31936.0,6869.0
Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,4.017.420,3.881.918,4017420.0,3881918.0
Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,2.270.931,2.319.022,2270931.0,2319022.0
Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,(3.941.421),(3.930.009),-3941421.0,-3930009.0
Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,2.346.930,2.270.931,2346930.0,2270931.0
