row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Năm 2017 VND,Năm 2016 VND,numeric__Mối quan hệ,numeric__Năm 2017 VND,numeric__Năm 2016 VND
Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,,,
Phạm Quang Dũng,Giao dịch bán hàng > Phạm Quang Dũng,Phạm Quang Dũng,Chủ tịch,2.640.154.073,50.818.414.652,,2640154073.0,50818414652.0
Phạm Thị Chi,Giao dịch bán hàng > Phạm Thị Chi,Phạm Thị Chi,Ủy viên,-,9.094.639.232,,,9094639232.0
Trần Thị Thanh Tân,Giao dịch bán hàng > Trần Thị Thanh Tân,Trần Thị Thanh Tân,Ủy viên,-,7.682.353.580,,,7682353580.0
Vũ Duy Hưng,Giao dịch bán hàng > Vũ Duy Hưng,Vũ Duy Hưng,Người có liên quan với thành viên HĐQT,-,8.286.559.129,,,8286559129.0
Số dư với với nhân sự chủ chốt và cổ đông,Số dư với với nhân sự chủ chốt và cổ đông,Số dư với với nhân sự chủ chốt và cổ đông,Số dư với với nhân sự chủ chốt và cổ đông,Số dư với với nhân sự chủ chốt và cổ đông,Số dư với với nhân sự chủ chốt và cổ đông,,,
,,,,31/12/2017,01/01/2017,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,VND,VND,,,
Phải thu khác dài hạn,Bên liên quan > Phải thu khác dài hạn,Phải thu khác dài hạn,,68.030.067.270,49.476.412.560,,68030067270.0,49476412560.0
Phạm Thị Nhải,Bên liên quan > Phạm Thị Nhải,Phạm Thị Nhải,Người có liên quan với thành viên HĐQT,68.030.067.270,49.476.412.560,,68030067270.0,49476412560.0
