row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị ghi sổ,31/12/2017 > Dự phòng,01/01/2017 > Giá trị ghi sổ,01/01/2017 > Dự phòng,numeric__31/12/2017 > Giá trị ghi sổ,numeric__31/12/2017 > Dự phòng,numeric__01/01/2017 > Giá trị ghi sổ,numeric__01/01/2017 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,230.302.895.642,(70.000.000),306.368.428.036,-,230302895642.0,-70000000.0,306368428036.0,
"Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia",-,-,6.153.983.574,-,,,6153983574.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",73.970.000,-,99.470.000,-,73970000.0,,99470000.0,
Tạm ứng,Tạm ứng,Tạm ứng,106.483.234.182,-,30.263.010.737,-,106483234182.0,,30263010737.0,
Phải thu khác,Phải thu khác,Phải thu khác,123.745.691.460,-,269.851.963.725,-,123745691460.0,,269851963725.0,
Ban QLDA Quận Nam Từ Liêm,Ban QLDA Quận Nam Từ Liêm,Ban QLDA Quận Nam Từ Liêm,9.411.831.881,,27.284.014.016,-,9411831881.0,,27284014016.0,
Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,3.658.391.981,-,11.616.738.417,-,3658391981.0,,11616738417.0,
UBND Quận Nam Từ Liêm,UBND Quận Nam Từ Liêm,UBND Quận Nam Từ Liêm,48.324.177.720,,-,,48324177720.0,,,
Phải thu đối tượng khác,Phải thu đối tượng khác,Phải thu đối tượng khác,62.351.289.878,(70.000.000),230.951.211.292,-,62351289878.0,-70000000.0,230951211292.0,
Dài hạn,Dài hạn,Dài hạn,102.899.334.755,(3.150.000.000),76.237.563.328,(3.150.000.000),102899334755.0,-3150000000.0,76237563328.0,-3150000000.0
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",3.521.190.000,(3.150.000.000),3.652.528.023,(3.150.000.000),3521190000.0,-3150000000.0,3652528023.0,-3150000000.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,99.378.144.755,-,72.585.035.305,-,99378144755.0,,72585035305.0,
Tổng,Tổng,Tổng,333.202.230.397,(3.220.000.000),382.605.991.364,(3.150.000.000),333202230397.0,-3220000000.0,382605991364.0,-3150000000.0
