row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm tin học,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm tin học,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư tại 01/01/2017,NGUYÊN GIÁ > Số dư tại 01/01/2017,Số dư tại 01/01/2017,102.878.251,1.463.984.637,1.566.862.888,102878251.0,1463984637.0,1566862888.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,6.118.294.300,6.118.294.300,,6118294300.0,6118294300.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,6.118.294.300,6.118.294.300,,6118294300.0,6118294300.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số dư tại 31/12/2017,Giảm trong năm > Số dư tại 31/12/2017,Số dư tại 31/12/2017,102.878.251,7.582.278.937,7.685.157.188,102878251.0,7582278937.0,7685157188.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư tại 01/01/2017,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2017,Số dư tại 01/01/2017,42.960.000,1.018.534.213,1.061.494.213,42960000.0,1018534213.0,1061494213.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,4.286.592,570.158.382,574.444.974,4286592.0,570158382.0,574444974.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,4.286.592,570.158.382,574.444.974,4286592.0,570158382.0,574444974.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số dư tại 31/12/2017,Giảm trong năm > Số dư tại 31/12/2017,Số dư tại 31/12/2017,47.246.592,1.588.692.595,1.635.939.187,47246592.0,1588692595.0,1635939187.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại 01/01/2017,GIÁ TRỊ CÒN LẠI > Tại 01/01/2017,Tại 01/01/2017,59.918.251,445.450.424,505.368.675,59918251.0,445450424.0,505368675.0
Tại 31/12/2017,GIÁ TRỊ CÒN LẠI > Tại 31/12/2017,Tại 31/12/2017,55.631.659,5.993.586.342,6.049.218.001,55631659.0,5993586342.0,6049218001.0
