row_label_raw,row_label_full,col_0,01/01/2017,Số phải nộp trong kỳ,Số đã thực nộp trong kỳ,31/12/2017,numeric__01/01/2017,numeric__Số phải nộp trong kỳ,numeric__Số đã thực nộp trong kỳ,numeric__31/12/2017
Phải nộp,Phải nộp,Phải nộp,158.267.738.027,365.963.773.428,408.358.926.690,115.872.584.765,158267738027.0,365963773428.0,408358926690.0,115872584765.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,109.497.558.634,274.572.823.595,314.803.705.951,69.266.676.278,109497558634.0,274572823595.0,314803705951.0,69266676278.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,47.280.356.660,76.153.608.756,78.561.342.059,44.872.623.357,47280356660.0,76153608756.0,78561342059.0,44872623357.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.137.178.984,14.325.978.489,13.745.258.950,1.717.898.523,1137178984.0,14325978489.0,13745258950.0,1717898523.0
"Thuế tài nguyên, Thuế nhà đất, tiền thuê đất","Thuế tài nguyên, Thuế nhà đất, tiền thuê đất","Thuế tài nguyên, Thuế nhà đất, tiền thuê đất",,554.445.520,551.245.520,3.200.000,,554445520.0,551245520.0,3200000.0
Thuế khác,Thuế khác,Thuế khác,352.643.749,356.917.068,697.374.210,12.186.607,352643749.0,356917068.0,697374210.0,12186607.0
Phải thu,Phải thu,Phải thu,2.926.306.540,2.769.477.910,9.283.434.906,9.440.263.536,2926306540.0,2769477910.0,9283434906.0,9440263536.0
Thuế GTGT nộp thừa,Thuế GTGT nộp thừa,Thuế GTGT nộp thừa,96.933.800,,,96.933.800,96933800.0,,,96933800.0
Thuế TNDN nộp thừa,Thuế TNDN nộp thừa,Thuế TNDN nộp thừa,2.829.372.740,2.769.477.910,9.280.077.316,9.339.972.146,2829372740.0,2769477910.0,9280077316.0,9339972146.0
Thuế khác nộp thừa,Thuế khác nộp thừa,Thuế khác nộp thừa,-,-,3.357.590,3.357.590,,,3357590.0,3357590.0
