row_label_raw,row_label_full,Số dư với các bên liên quan,Số dư với các bên liên quan_1,Số dư với các bên liên quan_2,numeric__Số dư với các bên liên quan_1,numeric__Số dư với các bên liên quan_2
,,,31/12/2017VND,01/01/2017VND,,
1. Các khoản phải thu,1. Các khoản phải thu,1. Các khoản phải thu,1.664.514.800,54.103.643.725,1664514800.0,54103643725.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,
Công ty CP Bất động sản Thái An,Phải thu khách hàng > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,1.515.400.000,1.515.400.000,1515400000.0,1515400000.0
Tổng Công ty Thăng Long - CTCP,Phải thu khách hàng > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,47.850.000,148.500.000,47850000.0,148500000.0
Phải thu khác,Phải thu khác,Phải thu khác,,,,
Công ty CP Bất động sản Thái An,Phải thu khác > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,101.264.800,351.264.800,101264800.0,351264800.0
Tổng Công ty Thăng Long - CTCP,Phải thu khác > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,-,6.153.983.574,,6153983574.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,,,
Tổng Công ty Thăng Long - CTCP,Trả trước cho người bán > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,-,45.934.495.351,,45934495351.0
2. Các khoản phải trả,Trả trước cho người bán > 2. Các khoản phải trả,2. Các khoản phải trả,97.227.975.785,75.398.696.658,97227975785.0,75398696658.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,,,,
Công ty CP Bất động sản Thái An,Phải trả người bán > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,617.968.605,617.968.605,617968605.0,617968605.0
Tổng Công ty Thăng Long - CTCP,Phải trả người bán > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,96.610.007.180,74.780.728.053,96610007180.0,74780728053.0
Giao dịch với các bên liên quan,Giao dịch với các bên liên quan,Giao dịch với các bên liên quan,Giao dịch với các bên liên quan,Giao dịch với các bên liên quan,,
Bên liên quan,Bên liên quan,Bên liên quan,Năm 2017VND,Năm 2016VND,,
Giao dịch mua,Giao dịch mua,Giao dịch mua,,,,
Tổng Công ty Thăng Long - CTCP,Giao dịch mua > Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,541.715.389.396,263.269.165.175,541715389396.0,263269165175.0
