row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO) > 5.14,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO) > Chi phí phải trả,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO) > 31/12/2017VND,Mẫu B 09 -DN/HN > 01/01/2017VND,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO) > Chi phí phải trả,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO) > 31/12/2017VND,numeric__Mẫu B 09 -DN/HN > 01/01/2017VND
,,,Ngắn hạn,140.289.088.202,40.444.232.127,,140289088202.0,40444232127.0
,,,Trích trước giá vốn các Dự án BĐS,110.799.528.383,13.310.749.578,,110799528383.0,13310749578.0
,,,"Trích trước lãi trái phiếu chuyển đổi, lãi vay",27.800.377.551,19.378.209.890,,27800377551.0,19378209890.0
,,,Chi phí phải trả khác,1.689.182.268,7.755.272.659,,1689182268.0,7755272659.0
,,,Dài hạn,3.009.079.072,-,,3009079072.0,
,,,Chi phí lãi vay,3.009.079.072,-,,3009079072.0,
,,,Tổng,143.298.167.274,40.444.232.127,,143298167274.0,40444232127.0
5.15,5.15,5.15,Doanh thu chưa thực hiện,31/12/2017VND,01/01/2017VND,,,
,,,Ngắn hạn,463.790.823,22.727.272,,463790823.0,22727272.0
,,,Doanh thu nhận trước,463.790.823,22.727.272,,463790823.0,22727272.0
,,,Dài hạn,5.352.249.276,283.659.965,,5352249276.0,283659965.0
,,,Doanh thu nhận trước,5.352.249.276,283.659.965,,5352249276.0,283659965.0
,,,Tổng,5.816.040.099,306.387.237,,5816040099.0,306387237.0
5.16,5.16,5.16,Phải trả khác,31/12/2017VND,01/01/2017VND,,,
,,,Ngắn hạn,92.718.750.075,380.722.104.553,,92718750075.0,380722104553.0
,,,Tài sản thừa chờ giải quyết,303.936.901,-,,303936901.0,
,,,Kinh phí công đoàn,401.854.640,252.000.091,,401854640.0,252000091.0
,,,Bảo hiểm xã hội,112.114.228,180.287.156,,112114228.0,180287156.0
,,,Bảo hiểm y tế,98.065.732,30.892.194,,98065732.0,30892194.0
,,,Bảo hiểm thất nghiệp,41.524.895,13.835.421,,41524895.0,13835421.0
,,,"Cổ tức, lợi nhuận phải trả",9.395.752.220,7.054.031.620,,9395752220.0,7054031620.0
,,,"Phải trả, phải nộp khác",82.365.501.459,373.191.058.071,,82365501459.0,373191058071.0
,,,Dài hạn,1.176.034.606.485,952.103.446.757,,1176034606485.0,952103446757.0
,,,Phải trả về góp vốn thực hiện Dự án,376.475.300.000,388.934.300.000,,376475300000.0,388934300000.0
,,,Phải trả tiền vay,125.300.800.000,127.100.800.000,,125300800000.0,127100800000.0
,,,Phải trả tiền đặt cọc,36.309.524.136,87.045.214.530,,36309524136.0,87045214530.0
,,,Chi phí sử dụng đất DA khu nhà ở sinh thái,631.485.168.980,332.362.670.049,,631485168980.0,332362670049.0
,,,Xuân Phương - đối trừ dự án BT Lê Đức Thọ,,,,,
,,,Phải trả dài hạn khác,6.463.813.369,16.660.462.178,,6463813369.0,16660462178.0
,,,Tổng,1.268.753.356.560,1.332.825.551.310,,1268753356560.0,1332825551310.0
