row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
Số dư tại 01/01/2016,Số dư tại 01/01/2016,Số dư tại 01/01/2016,1.284.047.330.000,70.238.348.433,72.781.820.671,291.843.960.332,1.718.911.459.436,1284047330000.0,70238348433.0,72781820671.0,291843960332.0,1718911459436.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,
Tăng vốn,Tăng trong năm > Tăng vốn,Tăng vốn,479.246.830.000,-,-,-,479.246.830.000,479246830000.0,,,,479246830000.0
Phân phối lợi nhuận,Tăng trong năm > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,7.989.997.090,-,7.989.997.090,,,7989997090.0,,7989997090.0
Lãi trong năm,Tăng trong năm > Lãi trong năm,Lãi trong năm,-,-,-,403.235.110.153,403.235.110.153,,,,403235110153.0,403235110153.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,
Trích lập các quỹ,Giảm trong năm > Trích lập các quỹ,Trích lập các quỹ,-,-,-,15.968.400.000,15.968.400.000,,,,15968400000.0,15968400000.0
Chia trả cổ tức cho CĐ Cty Mệ,Giảm trong năm > Chia trả cổ tức cho CĐ Cty Mệ,Chia trả cổ tức cho CĐ Cty Mệ,-,-,-,174.092.021.100,174.092.021.100,,,,174092021100.0,174092021100.0
Giảm khác,Giảm trong năm > Giảm khác,Giảm khác,-,397.421.474,-,2.712.260.471,3.109.681.945,,397421474.0,,2712260471.0,3109681945.0
Số dư tại 31/12/2016,Giảm trong năm > Số dư tại 31/12/2016,Số dư tại 31/12/2016,1.763.294.160.000,69.840.926.959,80.771.817.761,502.306.388.914,2.416.213.293.634,1763294160000.0,69840926959.0,80771817761.0,502306388914.0,2416213293634.0
Số dư tại 01/01/2017,Giảm trong năm > Số dư tại 01/01/2017,Số dư tại 01/01/2017,1.763.294.160.000,69.840.926.959,80.771.817.761,502.306.388.914,2.416.213.293.634,1763294160000.0,69840926959.0,80771817761.0,502306388914.0,2416213293634.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,,,,,
Tăng vốn,Tăng trong kỳ > Tăng vốn,Tăng vốn,747.294.970.000,25.000.000.000,-,-,772.294.970.000,747294970000.0,25000000000.0,,,772294970000.0
Lãi trong kỳ,Tăng trong kỳ > Lãi trong kỳ,Lãi trong kỳ,-,-,-,304.831.251.544,304.831.251.544,,,,304831251544.0,304831251544.0
Phân phối lợi nhuận,Tăng trong kỳ > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,20.059.017.568,-,20.059.017.568,,,20059017568.0,,20059017568.0
Tăng khác,Tăng trong kỳ > Tăng khác,Tăng khác,-,-,-,266.888.892,266.888.892,,,,266888892.0,266888892.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,,,,,
Trích lập các quỹ,Giảm trong kỳ > Trích lập các quỹ,Trích lập các quỹ,-,-,-,28.059.000.000,28.059.000.000,,,,28059000000.0,28059000000.0
Chia trả cổ tức cho CĐ Cty Mệ,Giảm trong kỳ > Chia trả cổ tức cho CĐ Cty Mệ,Chia trả cổ tức cho CĐ Cty Mệ,-,-,-,264.485.561.200,264.485.561.200,,,,264485561200.0,264485561200.0
Giảm khác (*),Giảm trong kỳ > Giảm khác (*),Giảm khác (*),-,9.666.453.284,-,,9.666.453.284,,9666453284.0,,,9666453284.0
Số dư tại 31/12/2017,Giảm trong kỳ > Số dư tại 31/12/2017,Số dư tại 31/12/2017,2.510.589.130.000,85.174.473.675,100.830.835.329,514.859.968.150,3.211.454.407.154,2510589130000.0,85174473675.0,100830835329.0,514859968150.0,3211454407154.0
