row_label_raw,row_label_full,CHỈ TIÊU,MS,Năm 2017VND,Năm 2016VND,numeric__MS,numeric__Năm 2017VND,numeric__Năm 2016VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,367.526.410.750,489.690.420.207,1.0,367526410750.0,489690420207.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,
- Khấu hao tài sản cố định và BĐS đầu tư,Điều chỉnh cho các khoản > - Khấu hao tài sản cố định và BĐS đầu tư,- Khấu hao tài sản cố định và BĐS đầu tư,02,360.568.743.941,177.996.726.361,2.0,360568743941.0,177996726361.0
- Các khoản dự phòng,Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,(385.610.699),8.576.886.016,3.0,-385610699.0,8576886016.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,1.273.250,(415.047),4.0,1273250.0,-415047.0
"- Lãi, lỗ từ hoạt động đầu tư","Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(49.216.258.257),(55.924.962.987),5.0,-49216258257.0,-55924962987.0
- Chi phí lãi vay,Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,167.990.860.226,185.782.553.870,6.0,167990860226.0,185782553870.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,846.485.419.211,806.121.208.420,8.0,846485419211.0,806121208420.0
"- Tăng, giảm các khoản phải thu","Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,198.598.084.831,(210.655.272.629),9.0,198598084831.0,-210655272629.0
"- Tăng, giảm hàng tồn kho","Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,(6.914.137.350),14.877.050.098,10.0,-6914137350.0,14877050098.0
"- Tăng, giảm các khoản phải trả","Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả",11,(87.882.281.965),387.235.506.154,11.0,-87882281965.0,387235506154.0
"- Tăng, giảm chi phí trả trước","Điều chỉnh cho các khoản > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,(145.241.685.145),(87.892.952.841),12.0,-145241685145.0,-87892952841.0
- Tiền lãi vay đã trả,Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,(239.416.630.533),(185.782.553.870),14.0,-239416630533.0,-185782553870.0
