row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn","Thiết bị,dụng cụ quản lý",TSCDhữu hình khác,Đơn vị tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCDhữu hình khác,numeric__Đơn vị tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2017,NGUYÊN GIÁ > Số dư tại 01/01/2017,Số dư tại 01/01/2017,26.285.074.127,8.626.198.090,30.121.631.634,10.285.798.298,2.585.570.814.542,2.660.889.516.691,26285074127.0,8626198090.0,30121631634.0,10285798298.0,2585570814542.0,2660889516691.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,9.438.846.209,120.546.029.503,10.367.217.011,776.635.042,715.012.536.685,856.141.264.450,9438846209.0,120546029503.0,10367217011.0,776635042.0,715012536685.0,856141264450.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,8.200.762.599,120.474.315.218,10.367.217.011,776.635.042,58.596.590.841,198.415.520.711,8200762599.0,120474315218.0,10367217011.0,776635042.0,58596590841.0,198415520711.0
Tăng từ ĐTXDCB hoàn thành,NGUYÊN GIÁ > Tăng từ ĐTXDCB hoàn thành,Tăng từ ĐTXDCB hoàn thành,-,-,-,-,656.415.945.844,656.415.945.844,,,,,656415945844.0,656415945844.0
Tăng do hợp nhất,NGUYÊN GIÁ > Tăng do hợp nhất,Tăng do hợp nhất,1.238.083.610,71.714.285,-,-,-,1.309.797.895,1238083610.0,71714285.0,,,,1309797895.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,68.000.000,11.420.656.091,-,-,11.488.656.091,,68000000.0,11420656091.0,,,11488656091.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,68.000.000,11.420.656.091,-,-,11.488.656.091,,68000000.0,11420656091.0,,,11488656091.0
Số dư tại 31/12/2017,NGUYÊN GIÁ > Số dư tại 31/12/2017,Số dư tại 31/12/2017,35.723.920.336,129.104.227.593,29.068.192.554,11.062.433.340,3.300.583.351.227,3.505.542.125.050,35723920336.0,129104227593.0,29068192554.0,11062433340.0,3300583351227.0,3505542125050.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2017,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2017,Số dư tại 01/01/2017,14.360.528.661,4.532.266.445,11.022.362.264,5.651.343.165,362.503.951.269,398.070.451.804,14360528661.0,4532266445.0,11022362264.0,5651343165.0,362503951269.0,398070451804.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,1.310.004.229,5.255.395.763,4.224.174.791,731.377.387,350.893.761.589,362.414.713.759,1310004229.0,5255395763.0,4224174791.0,731377387.0,350893761589.0,362414713759.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.273.640.580,5.183.681.478,4.224.174.791,731.377.387,350.893.761.589,362.306.635.825,1273640580.0,5183681478.0,4224174791.0,731377387.0,350893761589.0,362306635825.0
Tăng do hợp nhất,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất,Tăng do hợp nhất,36.363.649,71.714.285,-,-,-,108.077.934,36363649.0,71714285.0,,,,108077934.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,38.857.137,3.645.112.432,-,-,3.683.969.569,,38857137.0,3645112432.0,,,3683969569.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,38.857.137,3.645.112.432,-,-,3.683.969.569,,38857137.0,3645112432.0,,,3683969569.0
Số dư tại 31/12/2017,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2017,Số dư tại 31/12/2017,15.670.532.890,9.748.805.071,11.601.424.623,6.382.720.552,713.397.712.858,756.801.195.994,15670532890.0,9748805071.0,11601424623.0,6382720552.0,713397712858.0,756801195994.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại 01/01/2017,GIÁ TRỊ CÒN LẠI > Tại 01/01/2017,Tại 01/01/2017,11.924.545.466,4.093.931.645,19.099.269.370,4.634.455.133,2.223.066.863.273,2.262.819.064.887,11924545466.0,4093931645.0,19099269370.0,4634455133.0,2223066863273.0,2262819064887.0
Tại 31/12/2017,GIÁ TRỊ CÒN LẠI > Tại 31/12/2017,Tại 31/12/2017,20.053.387.446,119.355.422.522,17.466.767.931,4.679.712.788,2.587.185.638.369,2.748.740.929.056,20053387446.0,119355422522.0,17466767931.0,4679712788.0,2587185638369.0,2748740929056.0
