row_label_raw,row_label_full,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý_1,Nợ khó đòi đã xử lý_2,numeric__Nợ khó đòi đã xử lý_1,numeric__Nợ khó đòi đã xử lý_2
STT,STT,STT,Khách nợ,Số tiền nợ (VND),,
1,STT > 1,1,Công ty TNHH Lưu Thảo Vy,124.000.000,,124000000.0
2,STT > 2,2,Ban QLDA NN&PT NT Nam Định,27.658.859,,27658859.0
3,STT > 3,3,VP Hội Đồng ND-UBND tỉnh Nam Định,29.804.000,,29804000.0
4,STT > 4,4,UBND huyện Trực Ninh,30.914.000,,30914000.0
5,STT > 5,5,Công ty CP XD Thủy lợi Ninh Bình,198.469.912,,198469912.0
6,STT > 6,6,Công ty CP Tàu thủy Hoàng Anh,61.600.000,,61600000.0
7,STT > 7,7,Ban QLDA Đầu tư XD - Thị xã Phú Lý,34.135.000,,34135000.0
8,STT > 8,8,Công ty CP Đầu tư & XD HUD 3,42.451.250,,42451250.0
9,STT > 9,9,Công ty ĐTXD phát triển đô thị số 4,49.001.450,,49001450.0
10,STT > 10,10,Công ty CP Đầu tư và Phát triển Sông Đà,364.262.853,,364262853.0
11,STT > 11,11,Công ty CP TV XD Hà Tây,107.883.300,,107883300.0
12,STT > 12,12,Công ty CP XD CT đô thị Nam Định,18.337.885,,18337885.0
13,STT > 13,13,Công ty CP Đầu tư XD Việt Nhật,35.938.875,,35938875.0
14,STT > 14,14,Phạm Đăng Khởi,11.649.400,,11649400.0
15,STT > 15,15,Vũ Văn Dũng,27.694.731,,27694731.0
16,STT > 16,16,Phạm Văn Toàn,22.165.608,,22165608.0
17,STT > 17,17,Trần Thị Bích Hạnh,19.288.000,,19288000.0
18,STT > 18,18,Ban QLDA đầu tư XD huyện Hải Hậu,20.000.000,,20000000.0
19,STT > 19,19,UBND huyện Giao Thủy,75.681.173,,75681173.0
20,STT > 20,20,BQL Dự án Khu vực tỉnh TP Nam Định,49.901.000,,49901000.0
21,STT > 21,21,Công ty CP Licogi 13,325.974.526,,325974526.0
22,STT > 22,22,Công ty CP PTMT KCN & Đô thị Việt Nhật,109.450.000,,109450000.0
23,STT > 23,23,Công ty CP Tư vấn công trình và kỹ nghệ đình cao,59.854.000,,59854000.0
,,,Tổng,1.846.115.822,,1846115822.0
