row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị,31/12/2017 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2017 > Giá trị,01/01/2017 > Số có khả năng trả nợ,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,19.299.258.559,19.299.258.559,209.076.109.907,491.285.548.078,301.508.696.730,301.508.696.730,19299258559.0,19299258559.0,209076109907.0,491285548078.0,301508696730.0,301508696730.0
+ Ngân hàng SHB -CN Thăng Long,+ Ngân hàng SHB -CN Thăng Long,+ Ngân hàng SHB -CN Thăng Long,6.343.958.603,6.343.958.603,49.362.405.888,66.021.421.007,23.002.973.722,23.002.973.722,6343958603.0,6343958603.0,49362405888.0,66021421007.0,23002973722.0,23002973722.0
+ Ngân hàng BIDV - CN SGD3,+ Ngân hàng BIDV - CN SGD3,+ Ngân hàng BIDV - CN SGD3,-,-,57.758.166.330,321.814.157.508,264.055.991.178,264.055.991.178,,,57758166330.0,321814157508.0,264055991178.0,264055991178.0
+ Ngân hàng VCB - CN Hà Nội,+ Ngân hàng VCB - CN Hà Nội,+ Ngân hàng VCB - CN Hà Nội,-,-,17.408.332.903,17.408.332.903,-,-,,,17408332903.0,17408332903.0,,
+ Vay đối tượng khác,+ Vay đối tượng khác,+ Vay đối tượng khác,12.955.299.956,12.955.299.956,84.547.204.786,86.041.636.660,14.449.731.830,14.449.731.830,12955299956.0,12955299956.0,84547204786.0,86041636660.0,14449731830.0,14449731830.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,5.136.975.669.979,5.136.975.669.979,1.771.051.916.040,649.001.398.744,4.014.925.152.683,4.014.925.152.683,5136975669979.0,5136975669979.0,1771051916040.0,649001398744.0,4014925152683.0,4014925152683.0
+ Ngân hàng BIDV - CN Nam Định,+ Ngân hàng BIDV - CN Nam Định,+ Ngân hàng BIDV - CN Nam Định,1.980.363.451.945,1.980.363.451.945,22.675.025.906,257.053.787.201,2.214.742.213.240,2.214.742.213.240,1980363451945.0,1980363451945.0,22675025906.0,257053787201.0,2214742213240.0,2214742213240.0
Vay cho dự án BOT,Vay cho dự án BOT,Vay cho dự án BOT,1.770.190.536.604,1.770.190.536.604,22.675.025.906,51.670.000.000,1.799.185.510.698,1.799.185.510.698,1770190536604.0,1770190536604.0,22675025906.0,51670000000.0,1799185510698.0,1799185510698.0
Vay cho dự án BT,Vay cho dự án BT,Vay cho dự án BT,210.172.915.341,210.172.915.341,-,205.000.000.001,415.172.915.342,415.172.915.342,210172915341.0,210172915341.0,,205000000001.0,415172915342.0,415172915342.0
Vay cho hoạt động khác,Vay cho hoạt động khác,Vay cho hoạt động khác,-,-,,383.787.200,383.787.200,383.787.200,,,,383787200.0,383787200.0,383787200.0
+ Ngân hàng PT Việt Nam - CN Nam Định(Vay cho dự án BOT),+ Ngân hàng PT Việt Nam - CN Nam Định(Vay cho dự án BOT),+ Ngân hàng PT Việt Nam - CN Nam Định(Vay cho dự án BOT),567.343.592.422,567.343.592.422,174.691.194.000,172.337.738.578,564.990.137.000,564.990.137.000,567343592422.0,567343592422.0,174691194000.0,172337738578.0,564990137000.0,564990137000.0
+ Ngân hàng BIDV - CN SGD3(Vay cho dự án thu phí không dùng),+ Ngân hàng BIDV - CN SGD3(Vay cho dự án thu phí không dùng),+ Ngân hàng BIDV - CN SGD3(Vay cho dự án thu phí không dùng),567.132.526.923,567.132.526.923,567.132.526.923,-,-,-,567132526923.0,567132526923.0,567132526923.0,,,
+ Ngân hàng TPBank - CN Tây Hà Nội(Vay cho dự án Bệnh viện mắt - CS2),+ Ngân hàng TPBank - CN Tây Hà Nội(Vay cho dự án Bệnh viện mắt - CS2),+ Ngân hàng TPBank - CN Tây Hà Nội(Vay cho dự án Bệnh viện mắt - CS2),936.398.405,936.398.405,1.160.000.000,223.601.595,-,-,936398405.0,936398405.0,1160000000.0,223601595.0,,
+ Ngân hàng VCB- CN Hà Nội(Vay cho dự án BOT),+ Ngân hàng VCB- CN Hà Nội(Vay cho dự án BOT),+ Ngân hàng VCB- CN Hà Nội(Vay cho dự án BOT),1.891.767.060.512,1.891.767.060.512,778.088.340.439,120.914.082.370,1.234.592.802.443,1.234.592.802.443,1891767060512.0,1891767060512.0,778088340439.0,120914082370.0,1234592802443.0,1234592802443.0
+ Ngân hàng Vietinbank- CN Hà Nội(Vay cho dự án Bệnh viện mắt - CS2),+ Ngân hàng Vietinbank- CN Hà Nội(Vay cho dự án Bệnh viện mắt - CS2),+ Ngân hàng Vietinbank- CN Hà Nội(Vay cho dự án Bệnh viện mắt - CS2),125.856.234.772,125.856.234.772,125.856.234.772,-,-,-,125856234772.0,125856234772.0,125856234772.0,,,
+ Vay đối tượng khác,+ Vay đối tượng khác,+ Vay đối tượng khác,3.576.405.000,3.576.405.000,101.448.594.000,98.472.189.000,600.000.000,600.000.000,3576405000.0,3576405000.0,101448594000.0,98472189000.0,600000000.0,600000000.0
Tổng,Tổng,Tổng,5.156.274.928.538,5.156.274.928.538,1.980.128.025.947,1.140.286.946.822,4.316.433.849.413,4.316.433.849.413,5156274928538.0,5156274928538.0,1980128025947.0,1140286946822.0,4316433849413.0,4316433849413.0
