row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Công trình khí vàthiết bị khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Công trình khí vàthiết bị khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,7.734.295.119.429,8.868.065.541.594,857.032.818.862,361.018.307.191,30.693.187.483.403,48.513.599.270.479,7734295119429.0,8868065541594.0,857032818862.0,361018307191.0,30693187483403.0,48513599270479.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,45.242.828.482,79.115.010.778,10.383.186.877,31.976.637.527,3.434.811.357,170.152.475.021,45242828482.0,79115010778.0,10383186877.0,31976637527.0,3434811357.0,170152475021.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),29.136.697.153,18.170.361.702,-,-,6.276.616.130.204,6.323.923.189.059,29136697153.0,18170361702.0,,,6276616130204.0,6323923189059.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(63.001.099.497),(10.860.679.023),(5.036.415.078),(17.280.285.359),(74.781.779.615),(170.960.258.572),-63001099497.0,-10860679023.0,-5036415078.0,-17280285359.0,-74781779615.0,-170960258572.0
Phân loại lại (*),Nguyên giá > Phân loại lại (*),Phân loại lại (*),(1.018.568.472.727),(3.688.609.608.061),(3.335.569.260),-,4.710.513.650.048,-,-1018568472727.0,-3688609608061.0,-3335569260.0,,4710513650048.0,
Khác (**),Nguyên giá > Khác (**),Khác (**),(119.959.311.247),(14.257.882.692),9.918.136.032,291.570.815,26.511.123.144,(97.496.363.948),-119959311247.0,-14257882692.0,9918136032.0,291570815.0,26511123144.0,-97496363948.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,6.607.145.761.593,5.251.622.744.298,868.962.157.433,376.006.230.174,41.635.481.418.541,54.739.218.312.039,6607145761593.0,5251622744298.0,868962157433.0,376006230174.0,41635481418541.0,54739218312039.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,4.111.806.063.594,3.313.633.011.407,677.210.971.830,271.782.566.935,24.701.400.567.148,33.075.833.180.914,4111806063594.0,3313633011407.0,677210971830.0,271782566935.0,24701400567148.0,33075833180914.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,493.252.728.644,523.955.015.431,36.689.711.068,44.405.515.659,1.362.037.970.309,2.460.340.941.111,493252728644.0,523955015431.0,36689711068.0,44405515659.0,1362037970309.0,2460340941111.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(28.273.374.289),(8.535.720.501),(5.036.415.078),(17.376.887.359),(74.682.436.321),(133.904.833.548),-28273374289.0,-8535720501.0,-5036415078.0,-17376887359.0,-74682436321.0,-133904833548.0
Phân loại lại (*),Khấu hao lũy kế > Phân loại lại (*),Phân loại lại (*),(230.865.613.341),(842.303.832.446),(4.228.599.549),74.119.823,1.077.323.925.513,-,-230865613341.0,-842303832446.0,-4228599549.0,74119823.0,1077323925513.0,
Khác,Khấu hao lũy kế > Khác,Khác,1.831.678.585,442.313.187,-,(424.740.613),(5.941.883),1.843.309.276,1831678585.0,442313187.0,,-424740613.0,-5941883.0,1843309276.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,4.347.751.483.193,2.987.190.787.078,704.635.668.271,298.460.574.445,27.066.074.084.766,35.404.112.597.753,4347751483193.0,2987190787078.0,704635668271.0,298460574445.0,27066074084766.0,35404112597753.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,3.622.489.055.835,5.554.432.530.187,179.821.847.032,89.235.740.256,5.991.786.916.255,15.437.766.089.565,3622489055835.0,5554432530187.0,179821847032.0,89235740256.0,5991786916255.0,15437766089565.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.259.394.278.400,2.264.431.957.220,164.326.489.162,77.545.655.729,14.569.407.333.775,19.335.105.714.286,2259394278400.0,2264431957220.0,164326489162.0,77545655729.0,14569407333775.0,19335105714286.0
