row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,368.266.030.963,171.458.628.120,539.724.659.083,368266030963.0,171458628120.0,539724659083.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,716.000.000,57.770.109.052,58.486.109.052,716000000.0,57770109052.0,58486109052.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(12.976.054.180),(12.976.054.180),,-12976054180.0,-12976054180.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,368.982.030.963,216.252.682.992,585.234.713.955,368982030963.0,216252682992.0,585234713955.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,5.552.422.643,122.065.555.627,127.617.978.270,5552422643.0,122065555627.0,127617978270.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.635.233.893,30.462.072.260,32.097.306.153,1635233893.0,30462072260.0,32097306153.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(12.976.054.180),(12.976.054.180),,-12976054180.0,-12976054180.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,7.187.656.536,139.551.573.707,146.739.230.243,7187656536.0,139551573707.0,146739230243.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,362.713.608.320,49.393.072.493,412.106.680.813,362713608320.0,49393072493.0,412106680813.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,361.794.374.427,76.701.109.285,438.495.483.712,361794374427.0,76701109285.0,438495483712.0
