row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2019,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Vốn khác của chủ sở hữu VND > 255.319.038.873,Quỹ đầu tư phát triển VND > 14.862.130.022.329,Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,LNST chưa phân phối năm trước VND > 3.110.217.713.815,LNST chưa phân phối năm nay VND > 7.488.620.742.728,Lợi ích cổ đông không kiểm soát VND > 1.794.370.735.459,Tổng cộng VND > 46.867.125.112.614,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Vốn khác của chủ sở hữu VND > 255.319.038.873,numeric__Quỹ đầu tư phát triển VND > 14.862.130.022.329,numeric__Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,numeric__LNST chưa phân phối năm trước VND > 3.110.217.713.815,numeric__LNST chưa phân phối năm nay VND > 7.488.620.742.728,numeric__Lợi ích cổ đông không kiểm soát VND > 1.794.370.735.459,numeric__Tổng cộng VND > 46.867.125.112.614
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,-,-,7.488.620.742.728,(7.488.620.742.728),-,-,,,,,,7488620742728.0,-7488620742728.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,11.902.248.028.143,183.403.281.712,12.085.651.309.855,,,,,,,11902248028143.0,183403281712.0,12085651309855.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,4.070.802.087.346,-,(4.070.802.087.346),-,-,-,,,,4070802087346.0,,-4070802087346.0,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,-,(142.394.261.886),(147.273.842.125),(27.572.279.402),(317.240.383.413),,,,,,-142394261886.0,-147273842125.0,-27572279402.0,-317240383413.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(6.316.035.000.000),(1.913.950.000.000),(173.266.845.753),(8.403.251.845.753),,,,,,-6316035000000.0,-1913950000000.0,-173266845753.0,-8403251845753.0
Thay đổi quyền sở hữu,Thay đổi quyền sở hữu,Thay đổi quyền sở hữu,-,-,(58.660.476.225),(88.552.160.799),-,-,188.315.268.659,(669.297.763.678),(628.195.132.043),,,-58660476225.0,-88552160799.0,,,188315268659.0,-669297763678.0,-628195132043.0
Khác,Khác,Khác,-,-,-,-,-,(9.698.436.007),20.213.061.475,(72.329.097),10.442.296.371,,,,,,-9698436007.0,20213061475.0,-72329097.0,10442296371.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,19.139.500.000.000,210.679.541.297,196.658.562.648,18.844.379.948.876,6.287.318.113,59.908.671.304,10.049.552.516.152,1.107.564.799.241,49.614.531.357.631,19139500000000.0,210679541297.0,196658562648.0,18844379948876.0,6287318113.0,59908671304.0,10049552516152.0,1107564799241.0,49614531357631.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,-,-,10.049.552.516.152,(10.049.552.516.152),-,-,,,,,,10049552516152.0,-10049552516152.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.854.955.921.939,116.835.298.013,7.971.791.219.952,,,,,,,7854955921939.0,116835298013.0,7971791219952.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,9.446.895.016,-,(9.446.895.016),-,-,-,,,,9446895016.0,,-9446895016.0,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)",-,-,-,-,-,(157.870.336.935),(145.745.894.556),(19.525.063.326),(323.141.294.817),,,,,,-157870336935.0,-145745894556.0,-19525063326.0,-323141294817.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,-,-,(6.698.825.000.000),-,(151.237.019.942),(6.850.062.019.942),,,,,,-6698825000000.0,,-151237019942.0,-6850062019942.0
Tiền chênh lệch giá khí phải trả cho Nhà nước (**),Tiền chênh lệch giá khí phải trả cho Nhà nước (**),Tiền chênh lệch giá khí phải trả cho Nhà nước (**),-,-,-,-,-,(1.186.877.709.681),-,-,(1.186.877.709.681),,,,,,-1186877709681.0,,,-1186877709681.0
Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,-,-,-,-,-,237.375.541.937,-,-,237.375.541.937,,,,,,237375541937.0,,,237375541937.0
Khác,Khác,Khác,-,-,-,-,-,25.663.387.790,(16.931.063),10.417.433.647,36.063.890.374,,,,,,25663387790.0,-16931063.0,10417433647.0,36063890374.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,19.139.500.000.000,210.679.541.297,196.658.562.648,18.853.826.843.892,6.287.318.113,2.319.480.175.551,7.709.193.096.320,1.064.055.447.633,49.499.680.985.454,19139500000000.0,210679541297.0,196658562648.0,18853826843892.0,6287318113.0,2319480175551.0,7709193096320.0,1064055447633.0,49499680985454.0
