row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí VND,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,Loại trừ nội bộ và điều chỉnh VND,Tổng cộng VND,numeric__Kinh doanh khí và các sản phẩm khí VND,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,numeric__Loại trừ nội bộ và điều chỉnh VND,numeric__Tổng cộng VND
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,87.335.242.941.488,715.142.612.105,(13.045.088.378.187),75.005.297.175.406,87335242941488.0,715142612105.0,-13045088378187.0,75005297175406.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(73.753.854.956.529),(600.760.861.714),12.998.286.442.069,(61.356.329.376.174),-73753854956529.0,-600760861714.0,12998286442069.0,-61356329376174.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,(70.432.267.196.329),(543.243.523.219),12.888.822.181.444,(58.086.688.538.104),-70432267196329.0,-543243523219.0,12888822181444.0,-58086688538104.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.452.442.812.126),-,58.068.232.754,(2.394.374.579.372),-2452442812126.0,,58068232754.0,-2394374579372.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(869.144.948.074),(57.517.338.495),51.396.027.871,(875.266.258.698),-869144948074.0,-57517338495.0,51396027871.0,-875266258698.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,13.581.387.984.959,114.381.750.391,(46.801.936.118),13.648.967.799.232,13581387984959.0,114381750391.0,-46801936118.0,13648967799232.0
Phần lỗ trong các công ty liên kết,Phần lỗ trong các công ty liên kết,Phần lỗ trong các công ty liên kết,,,,(504.636.282),,,,-504636282.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.664.550.734.786,,,,1664550734786.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(240.940.076.023),,,,-240940076023.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(3.810.978.293),,,,-3810978293.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,15.068.262.843.420,,,,15068262843420.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(2.967.381.924.337),,,,-2967381924337.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(15.229.609.228),,,,-15229609228.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,12.085.651.309.855,,,,12085651309855.0
