row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm,Năm tài chính kết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm_1
,,,2020VND,2019VND,,
Doanh thu,Doanh thu,Doanh thu,83.242.648.047,81.119.697.429,83242648047.0,81119697429.0
Giá vốn,Giá vốn,Giá vốn,(45.871.071.123),(50.141.319.352),-45871071123.0,-50141319352.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,(73.006.562),(13.762.051.776),-73006562.0,-13762051776.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,(14.097.243.923),(9.030.298.903),-14097243923.0,-9030298903.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,23.201.326.439,8.186.027.398,23201326439.0,8186027398.0
Phân chia theo tỷ lệ góp vốn:,Phân chia theo tỷ lệ góp vốn:,Phân chia theo tỷ lệ góp vốn:,Phân chia theo tỷ lệ góp vốn:,Phân chia theo tỷ lệ góp vốn:,,
- Tổng Công ty Khí Việt Nam –Công ty Cổ phần,Phân chia theo tỷ lệ góp vốn: > - Tổng Công ty Khí Việt Nam –Công ty Cổ phần,- Tổng Công ty Khí Việt Nam –Công ty Cổ phần,16.956.403.244,5.886.641.926,16956403244.0,5886641926.0
- Tổng Công ty Tư vấn Thiết kế Dầu khí –Công ty Cổ phần,Phân chia theo tỷ lệ góp vốn: > - Tổng Công ty Tư vấn Thiết kế Dầu khí –Công ty Cổ phần,- Tổng Công ty Tư vấn Thiết kế Dầu khí –Công ty Cổ phần,3.797.008.357,1.328.383.361,3797008357.0,1328383361.0
- Công ty Cổ phần Địa ốc Phú Long,Phân chia theo tỷ lệ góp vốn: > - Công ty Cổ phần Địa ốc Phú Long,- Công ty Cổ phần Địa ốc Phú Long,2.447.914.838,971.002.111,2447914838.0,971002111.0
