row_label_raw,row_label_full,col_0,Tại ngày1.1.2020VND,TăngVND,Đánh giá lạiVND,Nợ dài hạnđến hạn trảVND,Tại ngày31.12.2020VND,numeric__Tại ngày1.1.2020VND,numeric__TăngVND,numeric__Đánh giá lạiVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2020VND
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,1.455.930.000.000,1.480.132.248.970,(2.940.000.000),(969.255.000.000),1.963.867.248.970,1455930000000.0,1480132248970.0,-2940000000.0,-969255000000.0,1963867248970.0
Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,,,,,
,,,Tại ngày31.12.2020VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất,Tài sảnthế chấp,,,,,
Ngân hàng TMCP Ngoại thươngViệt Nam,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Ngoại thươngViệt Nam,Ngân hàng TMCP Ngoại thươngViệt Nam,2.000.000.000,"Mua sắm, xây dựng TSCĐ",60 tháng kể từ ngày giải ngân,"7,8%",TSCĐ vô hình(Thuyết minh 1,2000000000.0,,,0.078,
Ngân hàng TMCP Xuất nhập khẩuViệt Nam,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Xuất nhập khẩuViệt Nam,Ngân hàng TMCP Xuất nhập khẩuViệt Nam,27.846.223.242,"Mua sắm, xây dựng TSCĐ",36 tháng kể từ ngày giải ngân,(i),Tín chấp,27846223242.0,,,,
Ngân hàng TMCP Sài Gòn - Hà Nội,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,47.371.388.558,"Mua sắm, xây dựng TSCĐ",24 tháng kể từ ngày giải ngân,(i),Tín chấp,47371388558.0,,,,
Ngân hàng TMCP Đông Nam Á,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,136.521.412.753,"Mua sắm, xây dựng TSCĐ",Đến ngày 29 tháng 8 năm 2027,(i),Tín chấp,136521412753.0,,,,
Ngân hàng Đầu tư và Phát triểnViệt Nam,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng Đầu tư và Phát triểnViệt Nam,Ngân hàng Đầu tư và Phát triểnViệt Nam,1.268.393.224.417,"Mua sắm, xây dựng TSCĐ",36 tháng kể từ ngày giải ngân,(i),Tín chấp,1268393224417.0,,,,
Ngân hàng Cathay United BankTrong đó:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng Cathay United BankTrong đó:,Ngân hàng Cathay United BankTrong đó:,1.451.205.000.000,"Mua sắm, xây dựng TSCĐ",Đến tháng 10 năm 2026,"Libor + 2,4%",Tín chấp,1451205000000.0,,,,
Đáo hạn trong vòng 1 năm,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Đáo hạn trong vòng 1 năm,Đáo hạn trong vòng 1 năm,967.470.000.000,,,,,967470000000.0,,,,
Đáo hạn trên 1 năm,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Đáo hạn trên 1 năm,Đáo hạn trên 1 năm,483.735.000.000,,,,,483735000000.0,,,,
