row_label_raw,row_label_full,Tổng Công ty Thăm dò và Khai thác Dầu khí,3.525.639.662,4.081.773.014,numeric__3.525.639.662,numeric__4.081.773.014
Tổng Công ty CP Khoan và Dịch vụ khoan Dầu khí,Tổng Công ty CP Khoan và Dịch vụ khoan Dầu khí,Tổng Công ty CP Khoan và Dịch vụ khoan Dầu khí,2.157.369.900,-,2157369900.0,
Liên doanh Việt - Nga VietsoPetro,Liên doanh Việt - Nga VietsoPetro,Liên doanh Việt - Nga VietsoPetro,-,33.084.818.989,,33084818989.0
