row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí VND,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,Loại trừ nội bộ và điều chỉnh VND,Tổng cộng VND,numeric__Kinh doanh khí và các sản phẩm khí VND,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,numeric__Loại trừ nội bộ và điều chỉnh VND,numeric__Tổng cộng VND
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,74.961.929.507.252,1.003.441.895.383,(11.830.405.915.797),64.134.965.486.838,74961929507252.0,1003441895383.0,-11830405915797.0,64134965486838.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(66.129.722.736.686),(882.206.675.153),11.570.769.999.060,(55.441.159.412.779),-66129722736686.0,-882206675153.0,11570769999060.0,-55441159412779.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,(63.446.837.461.498),(814.752.247.525),11.532.640.206.696,(52.728.949.502.327),-63446837461498.0,-814752247525.0,11532640206696.0,-52728949502327.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.014.510.339.779),-,71.505.452.947,(1.943.004.886.832),-2014510339779.0,,71505452947.0,-1943004886832.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(668.374.935.409),(67.454.427.628),(33.375.660.583),(769.205.023.620),-668374935409.0,-67454427628.0,-33375660583.0,-769205023620.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,8.832.206.770.566,121.235.220.230,(259.635.916.737),8.693.806.074.059,8832206770566.0,121235220230.0,-259635916737.0,8693806074059.0
Phần lỗ trong các công ty liên kết,Phần lỗ trong các công ty liên kết,Phần lỗ trong các công ty liên kết,,,,(11.351.394.583),,,,-11351394583.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.451.117.996.323,,,,1451117996323.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(169.134.841.287),,,,-169134841287.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,13.626.394.185,,,,13626394185.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,9.978.064.228.697,,,,9978064228697.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(2.037.319.332.206),,,,-2037319332206.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,31.046.323.461,,,,31046323461.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,7.971.791.219.952,,,,7971791219952.0
