row_label_raw,row_label_full,Tên chỉ nhánh,Địa điểm hoạt động,numeric__Địa điểm hoạt động
Công ty Vận chuyển Khí Đông Nam Bộ,Công ty Vận chuyển Khí Đông Nam Bộ,Công ty Vận chuyển Khí Đông Nam Bộ,Tp. Vũng Tàu,
Công ty Chế biến Khí Vũng Tàu,Công ty Chế biến Khí Vũng Tàu,Công ty Chế biến Khí Vũng Tàu,Tp. Vũng Tàu,
Công ty Kinh doanh Sản phẩm Khí,Công ty Kinh doanh Sản phẩm Khí,Công ty Kinh doanh Sản phẩm Khí,Tp. Hồ Chí Minh,
Công ty Dịch vụ Khí,Công ty Dịch vụ Khí,Công ty Dịch vụ Khí,Tp. Vũng Tàu,
Công ty Quản lý Dự án Khí,Công ty Quản lý Dự án Khí,Công ty Quản lý Dự án Khí,Tp. Hồ Chí Minh,
Ban Quản lý Dự án Khí - Đông Nam Bộ,Ban Quản lý Dự án Khí - Đông Nam Bộ,Ban Quản lý Dự án Khí - Đông Nam Bộ,Tp. Vũng Tàu,
Công ty Khí Cà Mau,Công ty Khí Cà Mau,Công ty Khí Cà Mau,Tỉnh Cà Mau,
Công ty Đường Ống Khí Nam Côn Sơn,Công ty Đường Ống Khí Nam Côn Sơn,Công ty Đường Ống Khí Nam Côn Sơn,Tp. Vũng Tàu,
Ban Quản lý Dự án Nhà máy Xử lý Khí Cà Mau,Ban Quản lý Dự án Nhà máy Xử lý Khí Cà Mau,Ban Quản lý Dự án Nhà máy Xử lý Khí Cà Mau,Tỉnh Cà Mau,
Chi nhánh Khí Hải phòng,Chi nhánh Khí Hải phòng,Chi nhánh Khí Hải phòng,Tp. Hải Phòng,
Công ty kinh doanh LNG,Công ty kinh doanh LNG,Công ty kinh doanh LNG,Tp. Hồ Chí Minh,
