row_label_raw,row_label_full,Tập đoàn Dầu khí Việt Nam,14.069.142.205.968,16.121.316.832.125,numeric__14.069.142.205.968,numeric__16.121.316.832.125
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,
Công ty Cổ phần Kinh doanh khí Miền Nam,Các công ty liên kết > Công ty Cổ phần Kinh doanh khí Miền Nam,Công ty Cổ phần Kinh doanh khí Miền Nam,53.256.922.550,64.562.270.103,53256922550.0,64562270103.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Cổ phần Lộc hóa đầu Bình Sơn,Các bên liên quan khác > Công ty Cổ phần Lộc hóa đầu Bình Sơn,Công ty Cổ phần Lộc hóa đầu Bình Sơn,2.486.323.208.470,1.503.823.108.845,2486323208470.0,1503823108845.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Các bên liên quan khác > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,2.190.215.285.750,562.990.495.373,2190215285750.0,562990495373.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Các bên liên quan khác > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,904.179.073.455,599.330.387.085,904179073455.0,599330387085.0
Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Các bên liên quan khác > Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,217.709.113.025,171.491.430.357,217709113025.0,171491430357.0
Liên doanh Việt - Nga VietsoPetro,Các bên liên quan khác > Liên doanh Việt - Nga VietsoPetro,Liên doanh Việt - Nga VietsoPetro,625.961.538.952,748.853.025.240,625961538952.0,748853025240.0
Tổng Công ty Thăm dò và Khai thác Dầu khí,Các bên liên quan khác > Tổng Công ty Thăm dò và Khai thác Dầu khí,Tổng Công ty Thăm dò và Khai thác Dầu khí,237.085.395.154,574.697.510.687,237085395154.0,574697510687.0
Trường Cao đẳng nghề Dầu khí,Các bên liên quan khác > Trường Cao đẳng nghề Dầu khí,Trường Cao đẳng nghề Dầu khí,47.511.384.636,-,47511384636.0,
Tổng công ty Hóa chất và Dịch vụ Dầu khí,Các bên liên quan khác > Tổng công ty Hóa chất và Dịch vụ Dầu khí,Tổng công ty Hóa chất và Dịch vụ Dầu khí,33.847.053.596,15.162.668.200,33847053596.0,15162668200.0
Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí - CTCP,Các bên liên quan khác > Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí - CTCP,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí - CTCP,16.718.226.878,-,16718226878.0,
Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Các bên liên quan khác > Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,16.555.906.263,-,16555906263.0,
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Các bên liên quan khác > Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,13.773.586.855,13.937.592.000,13773586855.0,13937592000.0
Tổng Công ty Dầu Việt Nam – CTCP,Các bên liên quan khác > Tổng Công ty Dầu Việt Nam – CTCP,Tổng Công ty Dầu Việt Nam – CTCP,12.591.952.562,63.874.677.778,12591952562.0,63874677778.0
Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Việt Nam,Các bên liên quan khác > Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Việt Nam,9.113.134.673,5.119.994.384,9113134673.0,5119994384.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Các bên liên quan khác > Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,-,438.915.660,,438915660.0
