row_label_raw,row_label_full,Tỷ lệ sở hữu,OJI(50%),Viestones(20%),"Bao bì(43,76%)","Tekcom (*) (19,20%)","Natuzzi (**) (20,00%)",VND Tổng cộng,numeric__OJI(50%),numeric__Viestones(20%),"numeric__Bao bì(43,76%)","numeric__Tekcom (*) (19,20%)","numeric__Natuzzi (**) (20,00%)",numeric__VND Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,94.930.473.000,4.200.000.000,2.000.000.000,-,-,101.130.473.000,94930473000.0,4200000000.0,2000000000.0,,,101130473000.0
Góp vốn,Giá trị đầu tư: > Góp vốn,Góp vốn,-,-,-,166.600.013.370,122.728.870.000,289.328.883.370,,,,166600013370.0,122728870000.0,289328883370.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,94.930.473.000,4.200.000.000,2.000.000.000,166.600.013.370,122.728.870.000,390.459.356.370,94930473000.0,4200000000.0,2000000000.0,166600013370.0,122728870000.0,390459356370.0
"Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết:",,,,,,
Số đầu năm,"Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,(29.208.977.858),-,(2.000.000.000),-,-,(31.208.977.858),-29208977858.0,,-2000000000.0,,,-31208977858.0
"Phần (lỗ) lãi từ công ty liên doanh,liên kết","Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết: > Phần (lỗ) lãi từ công ty liên doanh,liên kết","Phần (lỗ) lãi từ công ty liên doanh,liên kết",(7.062.035.774),-,-,2.086.303.653,3.305.576.474,(1.670.155.647),-7062035774.0,,,2086303653.0,3305576474.0,-1670155647.0
Số cuối năm,"Phần lũy kế lỗ sau khi mua công ty liên doanh, liên kết: > Số cuối năm",Số cuối năm,(36.271.013.632),-,(2.000.000.000),2.086.303.653,3.305.576.474,(32.879.133.505),-36271013632.0,,-2000000000.0,2086303653.0,3305576474.0,-32879133505.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,65.721.495.142,4.200.000.000,-,-,-,69.921.495.142,65721495142.0,4200000000.0,,,,69921495142.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,58.659.459.368,4.200.000.000,-,168.686.317.023,126.034.446.474,357.580.222.865,58659459368.0,4200000000.0,,168686317023.0,126034446474.0,357580222865.0
