row_label_raw,row_label_full,Bên cho vay,Số cuối nămVND,Kỳ hạn trả gốc và lãi,Lãi suất%/năm,Hình thức đảm bảo,numeric__Số cuối nămVND,numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất%/năm,numeric__Hình thức đảm bảo
Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Bình Dương,Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Bình Dương,Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Bình Dương,Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Bình Dương,Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Bình Dương,Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Bình Dương,Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Bình Dương,,,,
Hợp đồng vay số 5500-LAV-202000929,Ngân hàng Nông nghiệp và Phát triển Nông thôn – Chi nhánh Bình Dương > Hợp đồng vay số 5500-LAV-202000929,Hợp đồng vay số 5500-LAV-202000929,10.743.000.000,Từ ngày 28 tháng 1 năm 2023đến ngày 14 tháng 1 năm 2026,"10,50",Quyền sử dụng đấtvà tài sản,10743000000.0,,10.5,
Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn,,,,
Hợp đồng vay số 0021/21/HĐTD/1500-8366,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn > Hợp đồng vay số 0021/21/HĐTD/1500-8366,Hợp đồng vay số 0021/21/HĐTD/1500-8366,173.600.000,Từ ngày 2 tháng 1 năm 2023đến ngày 2 tháng 6 năm 2024,"15,55",Phương tiện vận tải sốhiệu 61-013053,173600000.0,,15.55,
TỔNG CỘNG,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn > TỔNG CỘNG,TỔNG CỘNG,10.916.600.000,,,,10916600000.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn > Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,8.180.000.0002.736.600.000,,,,8.18000000027366e+19,,,
23.3 Các khoản vay quá hạn chưa thanh toán,23.3 Các khoản vay quá hạn chưa thanh toán,23.3 Các khoản vay quá hạn chưa thanh toán,23.3 Các khoản vay quá hạn chưa thanh toán,23.3 Các khoản vay quá hạn chưa thanh toán,23.3 Các khoản vay quá hạn chưa thanh toán,23.3 Các khoản vay quá hạn chưa thanh toán,,,,
,,,,Số cuối nămGốc Lãi,Số đầu nămGốc Lãi,Số đầu nămGốc Lãi,,,,
,,,,Số cuối nămGốc Lãi,Số đầu nămGốc Lãi,Số đầu nămGốc Lãi,,,,
"VDB, CN Đắk Lắk – Đắk NôngAgribank, CN BMT","23.3 Các khoản vay quá hạn chưa thanh toán > VDB, CN Đắk Lắk – Đắk NôngAgribank, CN BMT","VDB, CN Đắk Lắk – Đắk NôngAgribank, CN BMT",,600.000.000–,62.742.357.793–,600.000.00030.000.000,,,,6.000000003e+16
TỔNG CỘNG,23.3 Các khoản vay quá hạn chưa thanh toán > TỔNG CỘNG,TỔNG CỘNG,,600.000.000,62.742.357.793,630.000.000,,600000000.0,62742357793.0,630000000.0
