row_label_raw,row_label_full,Doanh thu,Doanh thu_1,Doanh thu_2,Doanh thu_3,Doanh thu_4,numeric__Doanh thu_1,numeric__Doanh thu_2,numeric__Doanh thu_3,numeric__Doanh thu_4
Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,1.802.611.590.934,74.822.611.114,123.844.918.721,2.001.279.120.769,1802611590934.0,74822611114.0,123844918721.0,2001279120769.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.802.611.590.934,74.822.611.114,123.844.918.721,2.001.279.120.769,1802611590934.0,74822611114.0,123844918721.0,2001279120769.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận (lỗ) thuần từ hoạt động kinh doanh của bộ phận,Kết quả > Lợi nhuận (lỗ) thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận (lỗ) thuần từ hoạt động kinh doanh của bộ phận,13.947.834.978,31.598.268.583,(6.671.101.465),38.875.002.096,13947834978.0,31598268583.0,-6671101465.0,38875002096.0
Doanh thu tài chính,Kết quả > Doanh thu tài chính,Doanh thu tài chính,,,,24.729.695.114,,,,24729695114.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,(75.217.166.017),,,,-75217166017.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,32.143.884.331,,,,32143884331.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,(13.577.446.485),,,,-13577446485.0
Phân lỗ trong công ty liên kết,Kết quả > Phân lỗ trong công ty liên kết,Phân lỗ trong công ty liên kết,,,,(1.670.155.647),,,,-1670155647.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(2.574.451.866),,,,-2574451866.0
Thu nhập thuế TNDN hošn lại,Kết quả > Thu nhập thuế TNDN hošn lại,Thu nhập thuế TNDN hošn lại,,,,1.426.950.639,,,,1426950639.0
Lợi nhuận sau thuế,Kết quả > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,(1.229.605.161),,,,-1229605161.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,,,,3.006.145.046.322,,,,3006145046322.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,3.006.145.046.322,,,,3006145046322.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,2.573.203.819.247,,,,2573203819247.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,2.573.203.819.247,,,,2573203819247.0
