row_label_raw,row_label_full,col_0,Quyền sử dụng đất lâu dài,Quyền sử dụng đất có thời hạn,Phần mềm máy tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất lâu dài,numeric__Quyền sử dụng đất có thời hạn,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,88.819.703.057,26.390.508.483,17.785.256.880,134.454.100.420,1458632000.0,88819703057.0,26390508483.0,17785256880.0,134454100420.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,4.058.160.218,3.319.399.546,90.000.000,7.467.559.764,,4058160218.0,3319399546.0,90000000.0,7467559764.0
Xóa số,Nguyên giá: > Xóa số,Xóa số,-,-,(60.697.400),-,(60.697.400),,,-60697400.0,,-60697400.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.458.632.000,92.877.863.275,29.649.210.629,17.875.256.880,141.860.962.784,1458632000.0,92877863275.0,29649210629.0,17875256880.0,141860962784.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,-,6.782.628.583,157.259.011,6.939.887.594,,,6782628583.0,157259011.0,6939887594.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(6.397.740.596),(12.121.233.961),(12.478.170.402),(30.997.144.959),,-6397740596.0,-12121233961.0,-12478170402.0,-30997144959.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(2.665.969.743),(2.713.529.202),(901.141.695),(6.280.640.640),,-2665969743.0,-2713529202.0,-901141695.0,-6280640640.0
Xóa số,Giá trị hao mòn lũy kế: > Xóa số,Xóa số,-,-,60.697.400,-,60.697.400,,,60697400.0,,60697400.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(9.063.710.339),(14.774.065.763),(13.379.312.097),(37.217.088.199),,-9063710339.0,-14774065763.0,-13379312097.0,-37217088199.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,82.421.962.461,14.269.274.522,5.307.086.478,103.456.955.461,1458632000.0,82421962461.0,14269274522.0,5307086478.0,103456955461.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.458.632.000,83.814.152.936,14.875.144.866,4.495.944.783,104.643.874.585,1458632000.0,83814152936.0,14875144866.0,4495944783.0,104643874585.0
