row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,
Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,Công ty con,
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,
Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Công ty con,
Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty con,
Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,Công ty con,
Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,
Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,
Công ty Cổ phần Quản lý Cụm Công nghiệp,Công ty Cổ phần Quản lý Cụm Công nghiệp,Công ty Cổ phần Quản lý Cụm Công nghiệp,,
Trường Thành - Ea H'leo,Trường Thành - Ea H'leo,Trường Thành - Ea H'leo,Công ty con,
Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,
Công ty Cổ phần Bao bi Trường Thành,Công ty Cổ phần Bao bi Trường Thành,Công ty Cổ phần Bao bi Trường Thành,Công ty liên kết,
Công ty Natuzzi Singapore PTE. Ltd.,Công ty Natuzzi Singapore PTE. Ltd.,Công ty Natuzzi Singapore PTE. Ltd.,Công ty liên kết từ ngày 11 tháng 2 năm 2022,
Công ty Cổ phần Tekcom,Công ty Cổ phần Tekcom,Công ty Cổ phần Tekcom,Công ty liên kết từ ngày 4 tháng 5 năm 2022,
Công ty Cổ phần Tekcom Central,Công ty Cổ phần Tekcom Central,Công ty Cổ phần Tekcom Central,Công ty con của Công ty liên kết,
Công ty Cổ phần Viestones,Công ty Cổ phần Viestones,Công ty Cổ phần Viestones,Công ty liên kết,
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Công ty có cùng thành viên chủ chốt từ ngày 1 tháng 1 năm 2022,
OJI Paper,OJI Paper,OJI Paper,Công ty đồng liên doanh,
Ông Mai Hữu Tín,Ông Mai Hữu Tín,Ông Mai Hữu Tín,"Chủ tịch Hội Đồng Quản Trí (""HDQT"")",
Ông Vũ Xuân Dương,Ông Vũ Xuân Dương,Ông Vũ Xuân Dương,Phó Chủ tịch HDQT,
Ông Nguyễn Trọng Hiếu,Ông Nguyễn Trọng Hiếu,Ông Nguyễn Trọng Hiếu,Thành viên HDQT kiểm Tổng Giám đốc,
