row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Mãy móc vàthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Mãy móc vàthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,351.439.508.046,390.747.552.299,21.295.757.429,8.185.941.898,771.668.759.672,351439508046.0,390747552299.0,21295757429.0,8185941898.0,771668759672.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,2.108.599.155,19.227.969.778,984.960.000,1.648.346.409,23.969.875.342,2108599155.0,19227969778.0,984960000.0,1648346409.0,23969875342.0
Đầu tư xây dựng cơ bảnhoản thành,Nguyên giá: > Đầu tư xây dựng cơ bảnhoản thành,Đầu tư xây dựng cơ bảnhoản thành,9.500.224.719,14.210.043.340,2.548.864.493,183.717.000,26.442.849.552,9500224719.0,14210043340.0,2548864493.0,183717000.0,26442849552.0
Thanh lý và xóa số,Nguyên giá: > Thanh lý và xóa số,Thanh lý và xóa số,(1.309.046.464),(33.915.261.455),(1.925.781.265),(986.856.438),(38.136.945.622),-1309046464.0,-33915261455.0,-1925781265.0,-986856438.0,-38136945622.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,-,38.000.000,-,(38.000.000),-,,38000000.0,,-38000000.0,
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,361.739.285.456,390.308.303.962,22.903.800.657,8.993.148.869,783.944.538.944,361739285456.0,390308303962.0,22903800657.0,8993148869.0,783944538944.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,79.780.554.597,117.493.490.366,9.981.411.371,2.865.437.843,210.120.694.177,79780554597.0,117493490366.0,9981411371.0,2865437843.0,210120694177.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(237.503.214.878),(244.941.025.089),(15.726.092.219),(6.036.598.454),(504.206.930.640),-237503214878.0,-244941025089.0,-15726092219.0,-6036598454.0,-504206930640.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(11.504.670.556),(29.013.095.708),(1.523.524.624),(632.269.101),(42.673.559.989),-11504670556.0,-29013095708.0,-1523524624.0,-632269101.0,-42673559989.0
Thanh lý và xóa số,Giá trị khấu hao lũy kế: > Thanh lý và xóa số,Thanh lý và xóa số,1.309.046.465,27.173.060.582,1.886.580.279,685.439.709,31.054.127.035,1309046465.0,27173060582.0,1886580279.0,685439709.0,31054127035.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,-,(633.334),-,633.334,-,,-633334.0,,633334.0,
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(247.698.838.969),(246.781.693.549),(15.363.036.564),(5.982.794.512),(515.826.363.594),-247698838969.0,-246781693549.0,-15363036564.0,-5982794512.0,-515826363594.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,113.936.293.168,145.806.527.210,5.569.665.210,2.149.343.444,267.461.829.032,113936293168.0,145806527210.0,5569665210.0,2149343444.0,267461829032.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,114.040.446.487,143.526.610.413,7.540.764.093,3.010.354.357,268.118.175.350,114040446487.0,143526610413.0,7540764093.0,3010354357.0,268118175350.0
