row_label_raw,row_label_full,col_0,Văn cố phần,Cổ phiếu ưu đãi,Thăng dưvăn cố phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lỗ lũy kế,Tổng cộng,numeric__Văn cố phần,numeric__Cổ phiếu ưu đãi,numeric__Thăng dưvăn cố phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.111.983.020.000,-,(529.316.706.910),(10.510.764.710),17.170.909.622,8.963.110,(3.043.809.671.654),(454.474.250.542),3111983020000.0,,-529316706910.0,-10510764710.0,17170909622.0,8963110.0,-3043809671654.0,-454474250542.0
Phát hành cổ phiếuuru đãi,Năm trước > Phát hành cổ phiếuuru đãi,Phát hành cổ phiếuuru đãi,-,594.657.630.000,-,-,-,-,-,594.657.630.000,,594657630000.0,,,,,,594657630000.0
Phát hànhcổ phiếu quỹ,Năm trước > Phát hànhcổ phiếu quỹ,Phát hànhcổ phiếu quỹ,-,-,11.605.200.290,9.957.799.710,-,-,-,21.563.000.000,,,11605200290.0,9957799710.0,,,,21563000000.0
Chuyển đổi nợvay thành vốn,Năm trước > Chuyển đổi nợvay thành vốn,Chuyển đổi nợvay thành vốn,-,405.342.370.000,-,-,-,-,-,405.342.370.000,,405342370000.0,,,,,,405342370000.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,-,(8.672.019.770),(8.672.019.770),,,,,,,-8672019770.0,-8672019770.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.111.983.020.000,1.000.000.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.052.481.691.424),558.416.729.688,3111983020000.0,1000000000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3052481691424.0,558416729688.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,3.111.983.020.000,1.000.000.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.052.481.691.424),558.416.729.688,3111983020000.0,1000000000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3052481691424.0,558416729688.0
Chuyển đổicổ phiếu (*),Năm nay: > Chuyển đổicổ phiếu (*),Chuyển đổicổ phiếu (*),823.500.000.000,(823.500.000.000),-,-,-,-,-,-,823500000000.0,-823500000000.0,,,,,,
Trích Cổ tức của cổphiêu ưu đãi (**),Năm nay: > Trích Cổ tức của cổphiêu ưu đãi (**),Trích Cổ tức của cổphiêu ưu đãi (**),-,-,-,-,-,-,(21.180.000.000),(21.180.000.000),,,,,,,-21180000000.0,-21180000000.0
Lỗ thuần trong năm,Năm nay: > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,-,3.403.803.212,3.403.803.212,,,,,,,3403803212.0,3403803212.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.070.257.888.212),540.640.532.900,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3070257888212.0,540640532900.0
