row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay dài hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Cho vay,3.136.270.000,4.581.360.000,,3136270000.0,4581360000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Lãi cho vay,746.799.374,307.028.351,,746799374.0,307028351.0
Công ty Cổ phần Bao bì Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Chi hộ,54.303.700,54.303.700,,54303700.0,54303700.0
Ông Mai Hữu Tín,Phải thu ngắn hạn khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Chi hộ,-,204.689.860,,,204689860.0
,,,,801.103.074,566.021.911,,801103074.0,566021911.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Mua hàng,1.717.935.076,1.717.935.076,,1717935076.0,1717935076.0
Công ty TNHH Thương mại TTF,Phải trả người bán ngắn hạn > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Mua hàng,1.084.600.000,-,,1084600000.0,
,,,,2.802.535.076,1.717.935.076,,2802535076.0,1717935076.0
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,,,
"OJI Paper Co., Ltd.","Chỉ phí phải trả ngắn hạn > OJI Paper Co., Ltd.","OJI Paper Co., Ltd.",Bồi thường,47.370.000.000,46.130.000.000,,47370000000.0,46130000000.0
Ông Mai Hữu Tín,Chỉ phí phải trả ngắn hạn > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Khác,-,1.436.712.329,,,1436712329.0
,,,,47.370.000.000,47.566.712.329,,47370000000.0,47566712329.0
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,
Ông Nguyễn Trọng Hiếu,Phải trả khác > Ông Nguyễn Trọng Hiếu,Ông Nguyễn Trọng Hiếu,Khác,36.347.430,-,,36347430.0,
Ông Mai Hữu Tín,Phải trả khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Khác,11.258.740,2.000.000.000,,11258740.0,2000000000.0
,,,,47.606.170,2.000.000.000,,47606170.0,2000000000.0
