row_label_raw,row_label_full,col_0,Số đầu năm,Vay trong năm,Phân loại lại,Trả gốc vay,VND Số cuối năm,numeric__Số đầu năm,numeric__Vay trong năm,numeric__Phân loại lại,numeric__Trả gốc vay,numeric__VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,29.248.600.000,105.456.359.980,2.736.600.000,(110.789.959.980),26.651.600.000,29248600000.0,105456359980.0,2736600000.0,-110789959980.0,26651600000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,10.916.600.000,-,(2.736.600.000),-,8.180.000.000,10916600000.0,,-2736600000.0,,8180000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,40.165.200.000,105.456.359.980,-,(110.789.959.980),34.831.600.000,40165200000.0,105456359980.0,,-110789959980.0,34831600000.0
23.1 Vay ngắn hàng ngắn hạnChi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:Bên cho vaySố cuối nămKỳ hạn trả gốc và lãiLãi suấtHình thức đảm bảoVND%/năm,23.1 Vay ngắn hàng ngắn hạnChi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:Bên cho vaySố cuối nămKỳ hạn trả gốc và lãiLãi suấtHình thức đảm bảoVND%/năm,23.1 Vay ngắn hàng ngắn hạnChi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:Bên cho vaySố cuối nămKỳ hạn trả gốc và lãiLãi suấtHình thức đảm bảoVND%/năm,23.1 Vay ngắn hàng ngắn hạnChi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:Bên cho vaySố cuối nămKỳ hạn trả gốc và lãiLãi suấtHình thức đảm bảoVND%/năm,23.1 Vay ngắn hàng ngắn hạnChi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:Bên cho vaySố cuối nămKỳ hạn trả gốc và lãiLãi suấtHình thức đảm bảoVND%/năm,23.1 Vay ngắn hàng ngắn hạnChi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:Bên cho vaySố cuối nămKỳ hạn trả gốc và lãiLãi suấtHình thức đảm bảoVND%/năm,23.1 Vay ngắn hàng ngắn hạnChi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:Bên cho vaySố cuối nămKỳ hạn trả gốc và lãiLãi suấtHình thức đảm bảoVND%/năm,23.1 Vay ngắn hàng ngắn hạnChi tiết các khoản vay ngắn hạn từ ngân hàng được trình bày như sau:Bên cho vaySố cuối nămKỳ hạn trả gốc và lãiLãi suấtHình thức đảm bảoVND%/năm,,,,,
"Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương","Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương",,,,,
Hợp đồng số 5500_LAV-202000152ngày 26 tháng 2 năm 2020,"Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Bình Dương > Hợp đồng số 5500_LAV-202000152ngày 26 tháng 2 năm 2020",Hợp đồng số 5500_LAV-202000152ngày 26 tháng 2 năm 2020,21.670.000.000,Từ ngày 9 tháng 3 năm 2023đến ngày 30 tháng 8 năm 2023,"9,00 – 9,50","Máy móc, thiết bị của Công ty TNHH MTV Sử Thiên Thanh, công ty con của Nhóm Công ty","Máy móc, thiết bị của Công ty TNHH MTV Sử Thiên Thanh, công ty con của Nhóm Công ty",21670000000.0,,,,
"Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh",,,,,
Hợp đồng số 0073/21/HĐTM/1500-8366ngày 31 tháng 7 năm 2021,"Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Hồ Chí Minh > Hợp đồng số 0073/21/HĐTM/1500-8366ngày 31 tháng 7 năm 2021",Hợp đồng số 0073/21/HĐTM/1500-8366ngày 31 tháng 7 năm 2021,1.645.000.000,Từ ngày 15 tháng 1 năm 2023đến ngày 29 tháng 1 năm 2023,"12,46","Máy móc, thiết bị của Công ty TNHH MTV Sử Thiên Thanh, công ty con của Nhóm Công ty","Máy móc, thiết bị của Công ty TNHH MTV Sử Thiên Thanh, công ty con của Nhóm Công ty",1645000000.0,,12.46,,
"Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”)",,,,,
Hợp đồng số 102/2010/HĐTDXK-NHPTPCngày 28 tháng 12 năm 2010,"Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (“VDB, CN Đắk Lắk – Đắk Nông”) > Hợp đồng số 102/2010/HĐTDXK-NHPTPCngày 28 tháng 12 năm 2010",Hợp đồng số 102/2010/HĐTDXK-NHPTPCngày 28 tháng 12 năm 2010,600.000.000,Từ ngày 2 tháng 11 năm 2011đến ngày 25 tháng 11 năm 2011,"11,00","Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành, công ty con của Nhóm Công ty","Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành, công ty con của Nhóm Công ty",600000000.0,,11.0,,
