row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,97.918.607.865,164.695.564.806,(134.201.718.922),128.412.453.749,97918607865.0,164695564806.0,-134201718922.0,128412453749.0
Thuế nhập khẩu,Phải thu > Thuế nhập khẩu,Thuế nhập khẩu,3.545.168.649,361.860.276,(3.547.568.949),359.459.976,3545168649.0,361860276.0,-3547568949.0,359459976.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,101.463.776.514,165.057.425.082,(137.749.287.871),128.771.913.725,101463776514.0,165057425082.0,-137749287871.0,128771913725.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,13.058.598.160,75.310.148.826,(74.365.573.440),14.003.173.546,13058598160.0,75310148826.0,-74365573440.0,14003173546.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.149.311.703,2.574.451.866,(183.408.265),10.540.355.304,8149311703.0,2574451866.0,-183408265.0,10540355304.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.033.057.842,11.914.012.688,(12.325.666.804),5.621.403.726,6033057842.0,11914012688.0,-12325666804.0,5621403726.0
Khác,Phải nộp > Khác,Khác,713.194.145,557.701.943,(579.887.471),691.008.617,713194145.0,557701943.0,-579887471.0,691008617.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,27.954.161.850,90.356.315.323,(87.454.535.980),30.855.941.193,27954161850.0,90356315323.0,-87454535980.0,30855941193.0
