row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vận tải,thiết bị truyền dẫn",Thiết bị văn phòng,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vận tải,thiết bị truyền dẫn",numeric__Thiết bị văn phòng,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.415.395.597.347,38.415.290.951.022,167.422.242.764,568.214.235.925,554.667.912,45.566.877.694.970,6415395597347.0,38415290951022.0,167422242764.0,568214235925.0,554667912.0,45566877694970.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,85.497.230.153,12.499.441.208,16.094.158.932,186.000.000,114.276.830.293,,85497230153.0,12499441208.0,16094158932.0,186000000.0,114276830293.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,2.553.100.378,15.456.500.000,-,-,-,18.009.600.378,2553100378.0,15456500000.0,,,,18009600378.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(5.740.920.000),-,-,(5.740.920.000),,,-5740920000.0,,,-5740920000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.417.948.697.725,38.516.244.681.175,174.180.763.972,584.308.394.857,740.667.912,45.693.423.205.641,6417948697725.0,38516244681175.0,174180763972.0,584308394857.0,740667912.0,45693423205641.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.325.149.059.471,24.946.726.373.252,125.183.255.948,486.721.799.140,554.667.912,28.884.335.155.723,3325149059471.0,24946726373252.0,125183255948.0,486721799140.0,554667912.0,28884335155723.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,196.181.333.630,1.869.169.522.948,8.787.759.020,34.807.441.072,23.101.370,2.108.969.158.040,196181333630.0,1869169522948.0,8787759020.0,34807441072.0,23101370.0,2108969158040.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,-,-,66.260.316,-,66.260.316,,,,66260316.0,,66260316.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(5.740.920.000),-,-,(5.740.920.000),,,-5740920000.0,,,-5740920000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.521.330.393.101,26.815.895.896.200,128.230.094.968,521.595.500.528,577.769.282,30.987.629.654.079,3521330393101.0,26815895896200.0,128230094968.0,521595500528.0,577769282.0,30987629654079.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.090.246.537.876,13.468.564.577.770,42.238.986.816,81.492.436.785,-,16.682.542.539.247,3090246537876.0,13468564577770.0,42238986816.0,81492436785.0,,16682542539247.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.896.618.304.624,11.700.348.784.975,45.950.669.004,62.712.894.329,162.898.630,14.705.793.551.562,2896618304624.0,11700348784975.0,45950669004.0,62712894329.0,162898630.0,14705793551562.0
