row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,
Ông Nguyễn Văn Hội,Hội đồng Quản trị > Ông Nguyễn Văn Hội,Ông Nguyễn Văn Hội,2.134.511.000,2.065.765.000,2134511000.0,2065765000.0
Ông Bùi Ngọc Dương,Hội đồng Quản trị > Ông Bùi Ngọc Dương,Ông Bùi Ngọc Dương,2.106.341.000,2.053.725.000,2106341000.0,2053725000.0
Ông Khương Lê Thành,Hội đồng Quản trị > Ông Khương Lê Thành,Ông Khương Lê Thành,1.912.679.300,1.881.637.400,1912679300.0,1881637400.0
Ông Hà Đồng,Hội đồng Quản trị > Ông Hà Đồng,Ông Hà Đồng,1.882.501.000,1.824.977.000,1882501000.0,1824977000.0
Ông Hạng Anh Minh,Hội đồng Quản trị > Ông Hạng Anh Minh,Ông Hạng Anh Minh,1.351.111.000,-,1351111000.0,
Ông Nguyễn Bá Phước,Hội đồng Quản trị > Ông Nguyễn Bá Phước,Ông Nguyễn Bá Phước,609.990.000,1.831.207.000,609990000.0,1831207000.0
Ông Nguyễn Hải Âu,Hội đồng Quản trị > Ông Nguyễn Hải Âu,Ông Nguyễn Hải Âu,602.590.000,1.826.577.000,602590000.0,1826577000.0
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,
Ông Bùi Ngọc Dương,Ông Bùi Ngọc Dương,Ông Bùi Ngọc Dương,(*),(*),,
Ông Nguyễn Việt Thắng,Ông Bùi Ngọc Dương > Ông Nguyễn Việt Thắng,Ông Nguyễn Việt Thắng,1.838.146.000,1.789.046.000,1838146000.0,1789046000.0
Ông Nghiêm Đức Dương,Ông Bùi Ngọc Dương > Ông Nghiêm Đức Dương,Ông Nghiêm Đức Dương,1.834.951.000,1.781.695.000,1834951000.0,1781695000.0
Ông Mai Tuấn Đạt,Ông Bùi Ngọc Dương > Ông Mai Tuấn Đạt,Ông Mai Tuấn Đạt,1.852.794.000,920.882.000,1852794000.0,920882000.0
Ông Phạm Minh Nghĩa,Ông Bùi Ngọc Dương > Ông Phạm Minh Nghĩa,Ông Phạm Minh Nghĩa,1.842.701.000,900.946.000,1842701000.0,900946000.0
Ông Trần Đoàn Thịnh,Ông Bùi Ngọc Dương > Ông Trần Đoàn Thịnh,Ông Trần Đoàn Thịnh,1.118.742.400,1.789.772.200,1118742400.0,1789772200.0
Ông Nguyễn Ngọc Anh,Ông Bùi Ngọc Dương > Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,1.064.400.000,1.781.656.000,1064400000.0,1781656000.0
Ông Trần Thái Bảo,Ông Bùi Ngọc Dương > Ông Trần Thái Bảo,Ông Trần Thái Bảo,854.912.200,-,854912200.0,
