row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ Đầu tư Phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ Đầu tư Phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,31.004.996.160.000,-,6.633.311.289.905,37.638.307.449.905,31004996160000.0,,6633311289905.0,37638307449905.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,14.836.240.795.029,14.836.240.795.029,,,14836240795029.0,14836240795029.0
"Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành",-,-,(106.841.100.000),(106.841.100.000),,,-106841100000.0,-106841100000.0
Trích Quỹ Đầu tưphát triển,Trích Quỹ Đầu tưphát triển,Trích Quỹ Đầu tưphát triển,-,5.596.320.305.105,(5.596.320.305.105),-,,5596320305105.0,-5596320305105.0,
Chia cổ tức năm 2021,Chia cổ tức năm 2021,Chia cổ tức năm 2021,-,-,(930.149.884.800),(930.149.884.800),,,-930149884800.0,-930149884800.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,31.004.996.160.000,5.596.320.305.105,14.836.240.795.029,51.437.557.260.134,31004996160000.0,5596320305105.0,14836240795029.0,51437557260134.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,8.755.114.469.628,8.755.114.469.628,,,8755114469628.0,8755114469628.0
"Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)","Trích Quỹ khen thưởng,phúc lợi và Quỹ thưởngBan điều hành (i)",-,-,(333.562.300.000),(333.562.300.000),,,-333562300000.0,-333562300000.0
Trích Quỹ Đầu tưphát triển (i),Trích Quỹ Đầu tưphát triển (i),Trích Quỹ Đầu tưphát triển (i),-,4.450.872.238.509,(4.450.872.238.509),-,,4450872238509.0,-4450872238509.0,
Chia cổ tức năm 2022 (i),Chia cổ tức năm 2022 (i),Chia cổ tức năm 2022 (i),-,-,(2.170.349.731.200),(2.170.349.731.200),,,-2170349731200.0,-2170349731200.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,31.004.996.160.000,10.047.192.543.614,16.636.570.994.948,57.688.759.698.562,31004996160000.0,10047192543614.0,16636570994948.0,57688759698562.0
