row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế nhà thầu,a. Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,2.076.535.352,16.183.259.228,16.391.403.477,2.284.679.601,2076535352.0,16183259228.0,16391403477.0,2284679601.0
- Thuế GTGT nộp thay nhà thầu,a. Các khoản phải thu > - Thuế GTGT nộp thay nhà thầu,- Thuế GTGT nộp thay nhà thầu,2.076.535.352,16.183.259.228,16.183.259.228,2.076.535.352,2076535352.0,16183259228.0,16183259228.0,2076535352.0
- Thuế TNDN nộp thay nhà thầu,a. Các khoản phải thu > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,-,-,208.144.249,208.144.249,,,208144249.0,208144249.0
"Tiền thuê đất, thuế nhà đất","a. Các khoản phải thu > Tiền thuê đất, thuế nhà đất","Tiền thuê đất, thuế nhà đất",136.685.414,136.685.414,-,-,136685414.0,136685414.0,,
,,,2.213.220.766,16.319.944.642,16.391.403.477,2.284.679.601,2213220766.0,16319944642.0,16391403477.0,2284679601.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,615.583.683.232,9.682.639.148.498,9.675.586.966.343,622.635.865.387,615583683232.0,9682639148498.0,9675586966343.0,622635865387.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,615.583.683.219,5.633.662.662.034,5.626.610.479.879,622.635.865.374,615583683219.0,5633662662034.0,5626610479879.0,622635865374.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,13,4.048.976.486.464,4.048.976.486.464,13,13.0,4048976486464.0,4048976486464.0,13.0
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,54.915.650.931,54.915.650.931,-,,54915650931.0,54915650931.0,
Thuế tiêu thụ đặc biệt,b. Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,586.085.496.439,6.284.957.207.902,6.220.845.829.544,650.196.874.797,586085496439.0,6284957207902.0,6220845829544.0,650196874797.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,137.107.928.779,1.048.374.707.866,884.319.496.145,301.163.140.500,137107928779.0,1048374707866.0,884319496145.0,301163140500.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.718.068.729,113.707.967.361,116.958.397.056,9.467.639.034,12718068729.0,113707967361.0,116958397056.0,9467639034.0
Thuế nhà thầu,b. Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,42.621.012,10.600.750.420,10.643.371.432,-,42621012.0,10600750420.0,10643371432.0,
- Thuế TNDN nộp thay nhà thầu,b. Các khoản phải trả > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,42.621.012,10.600.750.420,10.643.371.432,-,42621012.0,10600750420.0,10643371432.0,
"Tiền thuê đất, thuế nhà đất","b. Các khoản phải trả > Tiền thuê đất, thuế nhà đất","Tiền thuê đất, thuế nhà đất",-,572.567.430,32.195.862,540.371.568,,572567430.0,32195862.0,540371568.0
Thuế bảo vệ môi trường,b. Các khoản phải trả > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,39.445.512.300,195.442.663.880,209.235.611.180,25.652.565.000,39445512300.0,195442663880.0,209235611180.0,25652565000.0
"Các loại thuế, phí và lệ phí khác","b. Các khoản phải trả > Các loại thuế, phí và lệ phí khác","Các loại thuế, phí và lệ phí khác",-,1.429.351.649,1.429.351.649,-,,1429351649.0,1429351649.0,
,,,1.390.983.310.491,17.392.640.015.937,17.173.966.870.142,1.609.656.456.286,1390983310491.0,17392640015937.0,17173966870142.0,1609656456286.0
