row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,68.488.206.172.277,58.272.540.356.765,,100.0,,68488206172277.0,58272540356765.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,16.942.605.931.887,22.818.044.778.395,,110.0,4.0,16942605931887.0,22818044778395.0
1.,1.,1.,Tiền,111,,657.976.236.378,233.415.082.886,,111.0,,657976236378.0,233415082886.0
2.,2.,2.,Các khoản tương đương tiền,112,,16.284.629.695.509,22.584.629.695.509,,112.0,,16284629695509.0,22584629695509.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,21.052.000.000.000,2.102.000.000.000,,120.0,5.0,21052000000000.0,2102000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,21.052.000.000.000,2.102.000.000.000,,123.0,,21052000000000.0,2102000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,14.916.418.745.417,16.496.181.102.251,,130.0,,14916418745417.0,16496181102251.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,13.995.245.626.384,16.091.370.819.920,,131.0,6.0,13995245626384.0,16091370819920.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,492.265.987.439,302.287.929.458,,132.0,7.0,492265987439.0,302287929458.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,428.905.895.961,102.521.117.240,,136.0,8.0,428905895961.0,102521117240.0
4.,4.,4.,Tài sản thiếu chờ xử lý,139,,1.235.633,1.235.633,,139.0,,1235633.0,1235633.0
IV.,IV.,IV.,Hàng tồn kho,140,9,15.509.872.841.404,16.777.843.394.311,,140.0,9.0,15509872841404.0,16777843394311.0
1.,1.,1.,Hàng tồn kho,141,,15.631.838.543.754,16.920.979.191.362,,141.0,,15631838543754.0,16920979191362.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(121.965.702.350),(143.135.797.051),,149.0,,-121965702350.0,-143135797051.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,67.308.653.569,78.471.081.808,,150.0,,67308653569.0,78471081808.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,65.023.973.968,76.257.861.042,,151.0,10.0,65023973968.0,76257861042.0
2.,2.,2.,Thuế và các khoản khác phải thu Nhà nước,153,16,2.284.679.601,2.213.220.766,,153.0,16.0,2284679601.0,2213220766.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,16.933.112.957.051,18.953.919.517.486,,200.0,,16933112957051.0,18953919517486.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,548.632.960.657,534.035.547.749,,210.0,,548632960657.0,534035547749.0
1.,1.,1.,Trả trước cho người bán dài hạn,212,7,548.106.960.657,533.509.547.749,,212.0,7.0,548106960657.0,533509547749.0
2.,2.,2.,Phải thu dài hạn khác,216,8,526.000.000,526.000.000,,216.0,8.0,526000000.0,526000000.0
II.,II.,II.,Tài sản cố định,220,,14.950.301.214.872,16.872.732.761.974,,220.0,,14950301214872.0,16872732761974.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,14.705.793.551.562,16.682.542.539.247,,221.0,11.0,14705793551562.0,16682542539247.0
,,,- Nguyên giá,222,,45.693.423.205.641,45.566.877.694.970,,222.0,,45693423205641.0,45566877694970.0
,,,- Giá trị hao mòn lũy kế,223,,(30.987.629.654.079),(28.884.335.155.723),,223.0,,-30987629654079.0,-28884335155723.0
2.,2.,2.,Tài sản cố định vô hình,227,12,244.507.663.310,190.190.222.727,,227.0,12.0,244507663310.0,190190222727.0
,,,- Nguyên giá,228,,974.382.631.134,842.092.265.122,,228.0,,974382631134.0,842092265122.0
,,,- Giá trị hao mòn lũy kế,229,,(729.874.967.824),(651.902.042.395),,229.0,,-729874967824.0,-651902042395.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,1.193.199.991.585,1.272.544.835.017,,240.0,,1193199991585.0,1272544835017.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,13,1.193.199.991.585,1.272.544.835.017,,242.0,13.0,1193199991585.0,1272544835017.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,155.644.067.731,155.850.623.431,,250.0,5.0,155644067731.0,155850623431.0
1.,1.,1.,Đầu tư vào công ty con,251,,351.664.874.292,351.664.874.292,,251.0,,351664874292.0,351664874292.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,11.244.000.000,11.244.000.000,,253.0,,11244000000.0,11244000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(207.264.806.561),(207.058.250.861),,254.0,,-207264806561.0,-207058250861.0
V.,V.,V.,Tài sản dài hạn khác,260,,85.334.722.206,118.755.749.315,,260.0,,85334722206.0,118755749315.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,75.592.280.833,99.200.453.882,,261.0,10.0,75592280833.0,99200453882.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,9.742.441.373,19.555.295.433,,262.0,,9742441373.0,19555295433.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,85.421.319.129.328,77.226.459.874.251,,270.0,,85421319129328.0,77226459874251.0
