row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,6.860.000.000.000,6.860.000.000.000,95.370.377.675.905,92.387.212.992.657,9.843.164.683.248,9.843.164.683.248,6860000000000.0,6860000000000.0,95370377675905.0,92387212992657.0,9843164683248.0,9843164683248.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,-,-,24.206.593.651.273,19.191.593.651.273,5.015.000.000.000,5.015.000.000.000,,,24206593651273.0,19191593651273.0,5015000000000.0,5015000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2.000.000.000.000,2.000.000.000.000,31.418.784.024.632,31.698.619.341.384,1.720.164.683.248,1.720.164.683.248,2000000000000.0,2000000000000.0,31418784024632.0,31698619341384.0,1720164683248.0,1720164683248.0
- Chi nhánh Quảng Ngãi,- Chi nhánh Quảng Ngãi,- Chi nhánh Quảng Ngãi,,,,,,,,,,,,
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,- Chi nhánh Quảng Ngãi > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,2.910.000.000.000,2.910.000.000.000,29.800.000.000.000,31.310.000.000.000,1.400.000.000.000,1.400.000.000.000,2910000000000.0,2910000000000.0,29800000000000.0,31310000000000.0,1400000000000.0,1400000000000.0
Ngân hàng BNP Paribas - Chi nhánh Hà Nội,- Chi nhánh Quảng Ngãi > Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,-,-,1.492.000.000.000,697.000.000.000,795.000.000.000,795.000.000.000,,,1492000000000.0,697000000000.0,795000000000.0,795000000000.0
Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,- Chi nhánh Quảng Ngãi > Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,700.000.000.000,700.000.000.000,6.640.000.000.000,6.670.000.000.000,670.000.000.000,670.000.000.000,700000000000.0,700000000000.0,6640000000000.0,6670000000000.0,670000000000.0,670000000000.0
Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,- Chi nhánh Quảng Ngãi > Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,1.250.000.000.000,1.250.000.000.000,243.000.000.000,1.250.000.000.000,243.000.000.000,243.000.000.000,1250000000000.0,1250000000000.0,243000000000.0,1250000000000.0,243000000000.0,243000000000.0
Ngân hàng Citibank - Chi nhánh Hà Nội,- Chi nhánh Quảng Ngãi > Ngân hàng Citibank - Chi nhánh Hà Nội,Ngân hàng Citibank - Chi nhánh Hà Nội,-,-,1.570.000.000.000,1.570.000.000.000,-,-,,,1570000000000.0,1570000000000.0,,
Nợ dài hạn đến hạn trả,- Chi nhánh Quảng Ngãi > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,974.698.760.000,974.698.760.000,-,974.698.760.000,-,-,974698760000.0,974698760000.0,,974698760000.0,,
Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (*),- Chi nhánh Quảng Ngãi > Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (*),Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (*),974.698.760.000,974.698.760.000,-,974.698.760.000,-,-,974698760000.0,974698760000.0,,974698760000.0,,
,,,7.834.698.760.000,7.834.698.760.000,95.370.377.675.905,93.361.911.752.657,9.843.164.683.248,9.843.164.683.248,7834698760000.0,7834698760000.0,95370377675905.0,93361911752657.0,9843164683248.0,9843164683248.0
