row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
Novel Energy Trading Pte Ltd,a. Các khoản phải trả người bán ngắn hạn > Novel Energy Trading Pte Ltd,Novel Energy Trading Pte Ltd,2.029.287.334.325,2.029.287.334.325,-,-,2029287334325.0,2029287334325.0,,
Công ty Liên doanh điều hành Cửu Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,1.214.427.432.270,1.214.427.432.270,1.883.840.970.478,1.883.840.970.478,1214427432270.0,1214427432270.0,1883840970478.0,1883840970478.0
Công ty Điều hành chung Hoàng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Hoàng Long,Công ty Điều hành chung Hoàng Long,1.050.987.900.855,1.050.987.900.855,507.041.790.209,507.041.790.209,1050987900855.0,1050987900855.0,507041790209.0,507041790209.0
Công ty TNHH Dầu khí Việt Nhật,a. Các khoản phải trả người bán ngắn hạn > Công ty TNHH Dầu khí Việt Nhật,Công ty TNHH Dầu khí Việt Nhật,844.776.948.044,844.776.948.044,-,-,844776948044.0,844776948044.0,,
BCP Trading Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > BCP Trading Pte. Ltd.,BCP Trading Pte. Ltd.,602.312.809.408,602.312.809.408,-,-,602312809408.0,602312809408.0,,
Glencore Singapore Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Glencore Singapore Pte. Ltd.,Glencore Singapore Pte. Ltd.,459.535.792.723,459.535.792.723,-,-,459535792723.0,459535792723.0,,
SOCAR Trading Singapore Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > SOCAR Trading Singapore Pte. Ltd.,SOCAR Trading Singapore Pte. Ltd.,-,-,4.614.980.523.717,4.614.980.523.717,,,4614980523717.0,4614980523717.0
Gunvor Singapore Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Gunvor Singapore Pte. Ltd.,Gunvor Singapore Pte. Ltd.,-,-,2.146.259.652.741,2.146.259.652.741,,,2146259652741.0,2146259652741.0
Vietsea Company Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Vietsea Company Pte. Ltd.,Vietsea Company Pte. Ltd.,-,-,830.026.300.223,830.026.300.223,,,830026300223.0,830026300223.0
Các đối tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,816.406.584.243,816.406.584.243,630.048.921.378,630.048.921.378,816406584243.0,816406584243.0,630048921378.0,630048921378.0
b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 33),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 33),b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 33),7.604.686.259.255,7.604.686.259.255,4.236.605.389.188,4.236.605.389.188,7604686259255.0,7604686259255.0,4236605389188.0,4236605389188.0
,,,14.622.421.061.123,14.622.421.061.123,14.848.803.547.934,14.848.803.547.934,14622421061123.0,14622421061123.0,14848803547934.0,14848803547934.0
