row_label_raw,row_label_full,Các bên liên quan trả tiền trước (Thuyết minh số 22),Số cuối năm > 10.176.816.324,VND Số đầu năm > 12.412.078.874,numeric__Số cuối năm > 10.176.816.324,numeric__VND Số đầu năm > 12.412.078.874
Các bên khác trả tiền trước,Các bên khác trả tiền trước,Các bên khác trả tiền trước,1.234.160.735,5.762.641.936,1234160735.0,5762641936.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,11.410.977.059,18.174.720.810,11410977059.0,18174720810.0
