row_label_raw,row_label_full,Ông Nguyễn Trường Sơn,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Trần Quốc Thịnh,Ông Trần Quốc Thịnh,Ông Trần Quốc Thịnh,Phó Chủ tịch,,,
Ông Hà Đức Hiếu,Ông Hà Đức Hiếu,Ông Hà Đức Hiếu,Thành viên,,,
Ông Lê Đăng Quốc Hùng,Ông Lê Đăng Quốc Hùng,Ông Lê Đăng Quốc Hùng,Thành viên,bổ nhiệm ngày 24 tháng 4 năm 2025,,
Ông Trần Thanh Tân,Ông Trần Thanh Tân,Ông Trần Thanh Tân,Thành viên độc lập,,,
