row_label_raw,row_label_full,col_0,Số đầu năm,Tăng,Giảm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__VND Số cuối năm
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế thu nhập doanh nghiệp,Phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,287.703.707,12.146.157.218,(293.158.433),12.140.702.492,287703707.0,12146157218.0,-293158433.0,12140702492.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,278.879.884,7.538.765.923,(6.332.345.856),1.485.299.951,278879884.0,7538765923.0,-6332345856.0,1485299951.0
Thuế giá trị gia tăng,Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.017.865.382,93.726.998.598,(95.363.113.524),381.750.456,2017865382.0,93726998598.0,-95363113524.0,381750456.0
Thuế khác,Phải trả > Thuế khác,Thuế khác,41.736.480,17.600.000,(4.000.000),55.336.480,41736480.0,17600000.0,-4000000.0,55336480.0
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,2.626.185.453,113.429.521.739,(101.992.617.813),14.063.089.379,2626185453.0,113429521739.0,-101992617813.0,14063089379.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,43.188.380.648,(33.028.825.557),10.159.555.091,,43188380648.0,-33028825557.0,10159555091.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.103.270.667,-,-,2.103.270.667,2103270667.0,,,2103270667.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,2.103.270.667,43.188.380.648,(33.028.825.557),12.262.825.758,2103270667.0,43188380648.0,-33028825557.0,12262825758.0
