row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Lợi nhuận sau thuếchưa phân phối(lỗ lũy kế),VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Lợi nhuận sau thuếchưa phân phối(lỗ lũy kế),numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,5.741.031.240.000,4.503.548.710,(4.352.588.898),5.741.182.199.812,5741031240000.0,4503548710.0,-4352588898.0,5741182199812.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Năm trước > Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,50.000.000.000,-,(50.000.000.000),-,50000000000.0,,-50000000000.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,20.378.786.159,20.378.786.159,,,20378786159.0,20378786159.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,5.791.031.240.000,4.503.548.710,(33.973.802.739),5.761.560.985.971,5791031240000.0,4503548710.0,-33973802739.0,5761560985971.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,5.791.031.240.000,4.503.548.710,(33.973.802.739),5.761.560.985.971,5791031240000.0,4503548710.0,-33973802739.0,5761560985971.0
Trích lập quỹ thường và phúc lợi (*),Năm nay > Trích lập quỹ thường và phúc lợi (*),Trích lập quỹ thường và phúc lợi (*),-,-,(4.220.125.492),(4.220.125.492),,,-4220125492.0,-4220125492.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,240.361.864.320,240.361.864.320,,,240361864320.0,240361864320.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,5.791.031.240.000,4.503.548.710,202.167.936.089,5.997.702.724.799,5791031240000.0,4503548710.0,202167936089.0,5997702724799.0
