row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Bảo cáo kết quả hoạt động kinh doanh riêng,numeric__Bảo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,129.488.947,175.067.878,(45.578.931),6.000.000,129488947.0,175067878.0,-45578931.0,6000000.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),7.582.736,7.582.736,-,-,7582736.0,7582736.0,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,137.071.683,182.650.614,,,137071683.0,182650614.0,,
(Chi phí) thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả kinh doanh riêng,(Chi phí) thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả kinh doanh riêng,(Chi phí) thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả kinh doanh riêng,(Chi phí) thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả kinh doanh riêng,(Chi phí) thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả kinh doanh riêng,(45.578.931),6.000.000,,,-45578931.0,6000000.0
