row_label_raw,row_label_full,STT,Tên công ty con,Tên viết tắt,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết (%),numeric__Tên công ty con,numeric__Tên viết tắt,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết (%)
Lĩnh vực kinh doanh và môi giới bắt động sản,Lĩnh vực kinh doanh và môi giới bắt động sản,Lĩnh vực kinh doanh và môi giới bắt động sản,Lĩnh vực kinh doanh và môi giới bắt động sản,Lĩnh vực kinh doanh và môi giới bắt động sản,Lĩnh vực kinh doanh và môi giới bắt động sản,Lĩnh vực kinh doanh và môi giới bắt động sản,Lĩnh vực kinh doanh và môi giới bắt động sản,,,,,
1,Lĩnh vực kinh doanh và môi giới bắt động sản > 1,1,Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Kinh doanh và môi giới BĐS,Đang hoạt động,"63,5",,,,,63.5
2,Lĩnh vực kinh doanh và môi giới bắt động sản > 2,2,Công ty Cổ phần Regal Group,Regal Group,Kinh doanh và môi giới BĐS,Đang hoạt động,55,,,,,55.0
3,Lĩnh vực kinh doanh và môi giới bắt động sản > 3,3,Công ty Cổ phần Cara Group,CRG,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
4,Lĩnh vực kinh doanh và môi giới bắt động sản > 4,4,Công ty CP Bắt Động Sản GPT,GPT,Kinh doanh và môi giới BĐS,Đang hoạt động,59,,,,,59.0
5,Lĩnh vực kinh doanh và môi giới bắt động sản > 5,5,Công ty Cổ phần Bắt động sản Linkgroup,Linkgroup,Kinh doanh và môi giới BĐS,Đang hoạt động,"80,47",,,,,80.47
6,Lĩnh vực kinh doanh và môi giới bắt động sản > 6,6,Công ty Cổ phần DXMD Việt Nam,DXMD Việt Nam,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
7,Lĩnh vực kinh doanh và môi giới bắt động sản > 7,7,Công ty Cổ phần Phát Triển Địa Ốc Nam Trung Bộ,Nam Trung Bộ,Kinh doanh và môi giới BĐS,Đang hoạt động,71,,,,,71.0
8,Lĩnh vực kinh doanh và môi giới bắt động sản > 8,8,Công ty Cổ phần Tiptek,Tiptek,Kinh doanh và môi giới BĐS,Đang hoạt động,"64,9",,,,,64.9
9,Lĩnh vực kinh doanh và môi giới bắt động sản > 9,9,Công ty Cổ phần Đầu tư và Dịch vụ Bắt động sản Tây Nam,Bắt động sản Tây Nam,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
10,Lĩnh vực kinh doanh và môi giới bắt động sản > 10,10,Công ty Cổ phần Địa ốc Viethomes,Viethomes,Kinh doanh và môi giới BĐS,Đang hoạt động,55,,,,,55.0
11,Lĩnh vực kinh doanh và môi giới bắt động sản > 11,11,Công ty Cổ phần Bắt động sản S-Homes Group,S-Homes,Kinh doanh và môi giới BĐS,Đang hoạt động,87,,,,,87.0
12,Lĩnh vực kinh doanh và môi giới bắt động sản > 12,12,Công ty Cổ phần Bắt động sản Bắc Trung Bộ,BĐS Bắc Trung Bộ,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
13,Lĩnh vực kinh doanh và môi giới bắt động sản > 13,13,Công ty Cổ phần Bắt động sản Duyên Hải,BĐS Duyên Hải,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
14,Lĩnh vực kinh doanh và môi giới bắt động sản > 14,14,Công ty Cổ phần Bắt Đông Sản Bắc Bộ,BĐS Bắc Bộ,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
15,Lĩnh vực kinh doanh và môi giới bắt động sản > 15,15,Công ty Cổ phần Dịch vụ Quản lý Tài sản và Đầu tư Asahi Japan,Asahi,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
16,Lĩnh vực kinh doanh và môi giới bắt động sản > 16,16,Công ty Cổ phần Dịch vụ và Đầu tư Bắt động sản Hùng Vương,Hùng Vương,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
17,Lĩnh vực kinh doanh và môi giới bắt động sản > 17,17,Công ty Cổ phần Dịch vụ và Đầu tư Bắt động sản Kinh Bắc,Kinh Bắc,Kinh doanh và môi giới BĐS,Đang hoạt động,83,,,,,83.0
18,Lĩnh vực kinh doanh và môi giới bắt động sản > 18,18,Công ty TNHH Nhà Ở Ngay,Nhà Ở Ngay,Kinh doanh và môi giới BĐS,Đang hoạt động,99,,,,,99.0
19,Lĩnh vực kinh doanh và môi giới bắt động sản > 19,19,Công ty Cổ phần Kinh doanh và Đầu tư Đất Xanh Miền Trung,Đất Xanh Miền Trung,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
20,Lĩnh vực kinh doanh và môi giới bắt động sản > 20,20,Công ty Cổ phần Bắt động sản Nam Miền Trung,Nam Miền Trung,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
