row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,,
"Công ty Cổ phần Đầu tư và Dịch vụ Bất động sản Tây Nam (""Bất động sản Tây Nam"")","Tên công ty con > Công ty Cổ phần Đầu tư và Dịch vụ Bất động sản Tây Nam (""Bất động sản Tây Nam"")","Công ty Cổ phần Đầu tư và Dịch vụ Bất động sản Tây Nam (""Bất động sản Tây Nam"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,4.080.000.000,51,4.080.000.000,,,51.0,4080000000.0,51.0,4080000000.0
"Công ty Cổ phần Tiptek (""Tiptek"")","Tên công ty con > Công ty Cổ phần Tiptek (""Tiptek"")","Công ty Cổ phần Tiptek (""Tiptek"")",Kinh doanh và môi giới BĐS,Đang hoạt động,65,3.894.000.000,65,3.894.000.000,,,65.0,3894000000.0,65.0,3894000000.0
"Công ty Cổ phần Đất Phát Hưng (trước đây là Công ty Cổ phần Đất Xanh Commercial) ("" Đất Phát Hưng"")","Tên công ty con > Công ty Cổ phần Đất Phát Hưng (trước đây là Công ty Cổ phần Đất Xanh Commercial) ("" Đất Phát Hưng"")","Công ty Cổ phần Đất Phát Hưng (trước đây là Công ty Cổ phần Đất Xanh Commercial) ("" Đất Phát Hưng"")",Kinh doanh BĐS,Đang hoạt động,70,1.400.000.000,70,1.400.000.000,,,70.0,1400000000.0,70.0,1400000000.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,3.226.989.718.518,3.226.989.718.518,3.094.117.718.518,3.094.117.718.518,,,3226989718518.0,3226989718518.0,3094117718518.0,3094117718518.0
"(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.","(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.","(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.","(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.","(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.","(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.","(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.","(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.","(*) Vào ngày 25 tháng 9 năm 2025, Công ty đã hoàn thành việc mua 11.000.000 cổ phiếu của Công ty Cổ phần Regal Group thông qua hình thức chào bán cho cổ đông hiện hữu với tổng giá trị 110.000.000.000 VND. Giao dịch trên được phê duyệt theo Nghị quyết Hội đồng Quản trị số 12/2025/NQ-DXS/HĐQT ngày 15 tháng 9 năm 2025.",,,,,,
"(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.","(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.","(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.","(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.","(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.","(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.","(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.","(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.","(**) Vào ngày 23 tháng 5 năm 2025, Công ty đã hoàn thành việc nhận chuyển nhượng cổ phần của DV Đất Xanh Miền Tây từ Cara Group – công ty con trực tiếp của Công ty với tổng giá trị 22.623.000.000 VND, theo đó DV Đất Xanh Miền Tây trở thành công ty con trực tiếp của Công ty. Việc nhận chuyển nhượng này được phê duyệt theo Nghị quyết Hội đồng Quản trị số 05/2025/NQ-DXS/HĐQT ngày 29 tháng 4 năm 2025.",,,,,,
(ii) Chi tiết đầu tư vào công ty liên kết như sau:,(ii) Chi tiết đầu tư vào công ty liên kết như sau:,(ii) Chi tiết đầu tư vào công ty liên kết như sau:,(ii) Chi tiết đầu tư vào công ty liên kết như sau:,(ii) Chi tiết đầu tư vào công ty liên kết như sau:,(ii) Chi tiết đầu tư vào công ty liên kết như sau:,(ii) Chi tiết đầu tư vào công ty liên kết như sau:,(ii) Chi tiết đầu tư vào công ty liên kết như sau:,(ii) Chi tiết đầu tư vào công ty liên kết như sau:,,,,,,
,,,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
Tên công ty liên kết,Tên công ty liên kết,Tên công ty liên kết,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu,Giá gốc đầu tư VND,Tỷ lệ sở hữu,Giá gốc đầu tư VND,,,,,,
