row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Linkhouse,Phải trả người bán ngắn hạn > Linkhouse,Linkhouse,Dịch vụ môi giới,3.197.986.679,-,,3197986679.0,
Vicco Saigon,Phải trả người bán ngắn hạn > Vicco Saigon,Vicco Saigon,Phí thuê văn phòng,1.646.561.763,705.669.327,,1646561763.0,705669327.0
Đất Xanh Miền Bắc,Phải trả người bán ngắn hạn > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Dịch vụ môi giới,1.639.593.784,-,,1639593784.0,
DXMD,Phải trả người bán ngắn hạn > DXMD,DXMD,Dịch vụ môi giới,1.356.268.077,-,,1356268077.0,
Các công ty khác,Phải trả người bán ngắn hạn > Các công ty khác,Các công ty khác,Dịch vụ môi giới và dịch vụ khác,39.031.055,480.298.628,,39031055.0,480298628.0
,,,,7.879.441.358,1.185.967.955,,7879441358.0,1185967955.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
DXMD,Người mua trả tiền trước ngắn hạn > DXMD,DXMD,Tạm ứng môi giới,10.170.915.221,12.406.177.771,,10170915221.0,12406177771.0
Đất Xanh Miền Nam,Người mua trả tiền trước ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Tạm ứng môi giới,5.901.103,5.901.103,,5901103.0,5901103.0
,,,,10.176.816.324,12.412.078.874,,10176816324.0,12412078874.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Hà An,Phải trả ngắn hạn khác > Hà An,Hà An,Thu hộ,8.535.927.286,8.535.927.286,,8535927286.0,8535927286.0
GPT,Phải trả ngắn hạn khác > GPT,GPT,Nhận ký quỹ,8.069.000.000,6.600.000.000,,8069000000.0,6600000000.0
LinkGroup,Phải trả ngắn hạn khác > LinkGroup,LinkGroup,Nhận ký quỹ,4.000.000.000,4.700.000.000,,4000000000.0,4700000000.0
Đất Xanh Miền Bắc,Phải trả ngắn hạn khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Nhận ký quỹ,8.000.000.000,3.500.000.000,,8000000000.0,3500000000.0
DXMD,Phải trả ngắn hạn khác > DXMD,DXMD,Nhận ký quỹ,3.000.000.000,3.000.000.000,,3000000000.0,3000000000.0
Linkhouse,Phải trả ngắn hạn khác > Linkhouse,Linkhouse,Nhận ký quỹ,1.852.500.000,230.000.000,,1852500000.0,230000000.0
Tiptek,Phải trả ngắn hạn khác > Tiptek,Tiptek,Nhận ký quỹ,1.000.000.000,1.000.000.000,,1000000000.0,1000000000.0
Ihouzz,Phải trả ngắn hạn khác > Ihouzz,Ihouzz,Nhận ký quỹ Góp vốn theo HDHTKD,500.000.000,-,,500000000.0,
,,,,86.000.000,86.000.000,,86000000.0,86000000.0
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Nhận ký quỹ,-,6.500.000.000,,,6500000000.0
,,,,35.043.427.286,34.151.927.286,,35043427286.0,34151927286.0
